id,market_index,local_income,population_density,store_size,floor_space,staff_hours,search_ads,social_ads,display_ads,promo_depth,coupon_rate,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,weekly_sales
11,0.779,1.213,0.102,0.119,0.139,-0.11,-0.815,-1.199,-0.243,-1.059,-0.871,0.985,0.165,-0.147,-0.786,-1.06,1.083,0.122,-1.598,60.033
12,-0.165,-0.17,-0.105,-1.5,-1.866,-1.584,0.458,0.035,0.528,0.163,0.113,0.254,-0.18,0.18,-0.148,-0.509,0.488,0.757,0.678,35.263
13,2.648,2.001,1.439,0.524,-0.072,0.376,0.057,0.283,-0.38,-0.276,-0.219,-1.441,-0.511,-0.471,-1.337,0.443,-0.006,0.103,1.466,87.799
14,0.202,-0.46,0.822,0.41,0.359,0.042,-1.559,-1.622,-0.443,0.036,0.33,1.133,-0.002,-0.783,0.703,0.306,-0.803,0.438,-0.758,37.486
15,-0.105,0.178,-0.231,-0.427,-0.686,0.218,2.087,2.102,1.027,1.51,1.334,1.116,-0.57,0.391,-0.878,0.527,-0.545,-0.016,2.286,43.561
16,1.12,0.373,1.287,1.035,0.584,0.73,0.834,0.706,1.746,-0.299,-0.612,-1.405,-0.69,-1.661,-2.274,0.119,1.291,1.76,1.227,64.781
17,1.193,0.842,0.719,-1.025,-0.899,-0.822,0.98,0.711,-0.073,0.157,0.155,0.205,-0.878,-0.394,-0.477,0.662,-0.949,2.703,0.463,55.533
18,-0.597,-0.179,0.282,0.765,0.622,1.077,1.596,1.935,1.226,-0.638,-0.831,0.255,0.961,0.114,-0.048,-0.685,2.256,0.362,-0.082,57.978
19,0.349,-0.615,0.293,-0.977,-0.597,-0.147,-2.116,-1.808,-1.293,-0.143,-0.611,-0.677,0.382,0.685,1.728,0.849,0.67,0.471,0.155,44.21
20,-0.564,-0.175,-0.902,1.241,2.174,1.229,0.224,0.067,0.209,-0.594,-0.428,-0.018,-0.714,-1.375,0.501,1.058,1.181,1.307,-1.04,61.385
21,0.208,0.707,-0.579,0.946,1.391,0.459,-2.184,-2.151,-2.543,-0.467,-0.613,0.778,0.55,1.784,0.964,1.022,0.775,-0.455,1.231,55.654
22,1.236,0.722,1.654,0.898,0.433,-0.225,0.318,0.392,0.364,-1.18,-0.492,0.669,0.149,1.37,0.329,-1.342,-1.378,0.541,-0.217,73.356
23,1.661,1.525,1.33,-0.806,-1.494,-0.407,-0.976,-1.153,-0.388,0.784,1.046,-0.41,0.412,-1.75,0.789,-1.418,-2.14,-0.409,0.345,56.869
24,1.099,0.367,1.236,1.539,1.275,1.061,-1.506,-0.49,-0.32,1.676,1.529,-0.906,-0.996,0.173,-0.108,0.953,0.11,-0.227,-0.298,54.317
25,-1.345,-1.122,-1.549,-0.662,-0.481,-0.707,1.222,0.724,0.876,0.95,1.203,-1.714,-0.522,-0.104,-1.567,-2.184,-0.648,1.237,-1.328,28.684
26,0.27,-0.167,-0.475,-0.504,-0.611,-0.153,0.411,0.35,-0.16,-0.215,0.239,-0.474,1.499,0.496,-3.006,-0.243,2.26,0.371,-1.928,52.306
27,-1.524,-1.292,-1.21,-1.505,-1.33,-1.059,-1.761,-1.983,-1.931,0.538,0.38,-0.306,0.21,2.144,0.552,-0.778,0.118,-1.111,0.641,24.936
28,1.56,1.02,0.308,0.705,1.318,1.425,-1.133,-0.634,-0.006,-0.233,-0.098,0.302,0.146,1.413,-0.201,-0.409,0.646,3.361,0.341,67.673
29,1.879,2.082,1.346,-0.592,-0.627,-0.54,-0.263,-0.274,-0.691,-0.483,-0.29,-0.367,-2.164,-0.19,0.139,0.147,0.206,0.743,2.022,65.349
30,-0.347,-0.716,-0.856,2.394,1.501,1.14,-0.501,-0.532,0.148,-0.157,-0.245,0.528,-0.323,-1.707,-0.606,1.109,0.931,0.105,0.591,53.897
31,0.031,0.376,0.001,1.026,0.863,0.402,-1.732,-0.699,0.015,-0.287,0.645,0.319,-1.136,-0.792,0.307,-0.192,1.932,1.939,1.362,50.856
32,0.172,0.379,0.686,-0.105,0.03,-0.467,0.797,0.921,1.036,-0.849,-0.672,-0.881,-0.587,0.199,0.424,0.416,-0.712,-0.153,-0.101,61.237
33,-1.381,-1.034,-1.757,1.17,0.279,0.476,-0.729,-0.435,-0.311,0.383,0.446,0.218,1.364,-1.753,1.711,0.651,0.246,-0.356,0.878,39.421
34,0.368,0.271,-0.07,-1.704,-1.049,-1.585,0.327,0.753,0.536,-2.255,-1.722,0.649,-0.527,-1.871,-0.299,-0.667,0.125,-0.455,0.404,62.383
35,-0.047,0.496,-0.003,0.765,0.494,0.539,-1.459,-0.512,-0.412,1.674,1.625,0.575,0.595,-0.464,0.792,-1.877,-1.202,2.495,0.442,50.224
36,-0.926,-0.877,0.021,-1.247,-1.136,-1.526,2.887,2.467,1.401,0.136,0.396,0.489,-0.972,0.346,0.655,-1.238,-0.359,-0.953,-1.989,36.573
37,0.65,0.337,0.862,-2.082,-1.628,-1.338,0.77,0.479,0.327,-1.572,-1.686,0.807,-0.122,0.818,0.569,-1.83,0.216,1.229,-0.352,55.415
38,-1.16,-0.739,-2.129,0.366,0.065,0.094,1.213,0.733,0.447,-0.041,0.047,-0.463,-1.493,0.674,-0.652,-1.79,-0.525,-0.038,-0.652,44.835
39,-0.212,0.217,-0.098,-1.298,-1.537,-1.303,1.016,1.463,0.34,-0.799,-1.252,0.22,1.687,-0.037,0.005,0.728,-0.062,3.04,-0.98,46.216
40,-0.389,0.05,0.244,-0.707,0.264,-0.076,-0.138,-0.989,0.101,-0.844,-0.864,0.238,1.009,0.353,-0.284,-0.937,-0.347,1.562,-0.145,50.571
41,-0.027,-0.013,-0.455,-0.881,-0.768,-1.473,-0.377,-0.361,-0.45,2.094,1.657,1.007,-0.629,1.445,-1.458,-0.215,0.038,-1.298,0.096,35.858
42,0.2,-0.252,0.615,0.527,0.563,0.371,-0.616,-0.356,-0.586,-0.542,-0.156,-1.249,-0.219,-0.004,0.925,-0.894,-0.551,1.069,-0.551,48.56
43,2.046,1.219,1.763,-0.215,0.236,0.432,-0.774,-0.643,-0.517,-1.545,-0.671,-0.14,-0.547,0.929,0.634,0.404,-0.918,0.074,-1.091,69.06
44,-0.166,-0.028,0.765,-1.254,-0.971,-0.782,0.456,0.283,0.372,0.012,0.193,-2.043,-0.045,-0.531,1.196,-0.554,-0.771,1.514,-1.285,47.914
45,-0.998,-0.929,-0.015,-0.061,0.176,0.292,1.938,2.232,1.295,0.666,-0.082,-0.643,0.742,0.461,0.357,1.219,-0.288,-0.101,0.56,45.472
46,0.333,0.148,0.179,0.796,0.601,0.276,0.756,0.468,0.738,0.043,0.05,0.262,0.139,-0.075,-0.405,0.607,1.746,-0.655,-0.114,52.204
47,-1.375,-0.747,-1.531,1.214,1.103,0.824,0.577,0.139,0.197,0.338,0.447,-0.325,-0.986,-1.525,1.604,0.225,0.267,-0.146,-0.638,43.488
48,-0.512,-0.689,-1.083,1.399,1.45,0.789,-1.555,-0.864,-0.586,0.299,0.041,1.079,-0.11,-1.445,-0.331,-0.576,-0.698,0.185,1.188,52.12
49,1.087,1.628,1.02,-0.455,-0.233,-0.576,0.511,0.207,1.357,-0.043,-0.232,-0.346,0.886,0.091,0.274,0.969,1.214,-0.08,-1.038,61.388
50,-1.933,-1.399,-1.813,0.976,0.85,0.863,-0.374,0.065,0.525,-0.691,-0.766,-2.304,0.51,0.772,0.45,-1.608,-0.342,0.43,1.337,44.241
51,1.914,1.57,1.357,1.681,1.716,1.318,0.387,0.322,1.16,-1.872,-1.074,-2.008,-0.211,-0.708,0.529,-0.372,-0.327,1.678,-1.495,76.631
52,-0.672,-0.176,0.015,-0.175,-0.25,-0.294,-2.476,-2.23,-2.113,1.503,1.349,2.639,-0.169,-0.693,1.338,1.443,0.908,-0.575,-2.375,39.61
53,1.196,1.48,0.652,-1.718,-1.568,-0.92,-0.9,-0.351,-0.432,-0.637,-0.199,-1.652,-0.338,0.922,1.153,-1.982,-0.111,-0.165,-0.392,55.94
54,0.198,-0.363,0.184,1.772,1.452,1.538,0.829,-0.004,1.178,1.631,1.642,1.378,-0.793,-1.983,0.147,0.576,1.275,-0.433,-0.998,48.399
55,-0.739,-0.715,-0.984,0.324,0.698,0.177,-1.27,-0.981,-1.645,0.147,0.039,0.949,-2.752,-0.604,0.566,-1.227,0.984,0.321,-0.986,41.376
56,-1.06,-0.309,-0.586,1.228,1.297,0.658,0.158,0.473,0.12,-0.925,-0.874,-1.782,0.813,1.77,0.956,1.972,-0.029,0.785,0.479,53.525
57,-0.837,-0.647,-1.02,0.654,1.101,0.658,0.952,0.676,0.348,1.207,1.143,1.928,-0.784,-0.307,1.04,2.606,-0.916,-1.112,0.456,48.304
58,0.046,0.499,0.138,1.099,0.766,0.592,-1.694,-1.644,-1.015,0.275,0.302,0.472,1.707,1.092,-2.267,-0.827,0.839,0.395,0.776,45.853
59,0.558,0.312,0.113,-0.43,0.043,0.066,-0.27,-0.683,0.15,2.158,1.651,-0.223,0.241,-2.475,-0.786,0.588,0.375,1.383,-0.702,52.816
60,0.312,-0.062,-0.339,-1.428,-1.467,-0.78,-0.324,-0.048,-0.501,1.025,0.652,-0.46,0.384,-2.214,0.607,0.202,-0.666,-0.46,-0.994,36.714
61,2.327,1.513,1.432,-0.742,-0.576,-0.606,0.733,0.546,0.408,0.841,0.676,-1.525,-0.143,-0.411,-1.285,0.33,0.22,-0.329,-1.686,58.107
62,-1.547,-1.057,-1.092,0.594,0.453,0.636,0.05,-0.317,-0.872,-2.102,-1.695,-0.845,0.148,0.653,-0.624,-0.025,0.199,0.369,-1.042,42.849
63,-0.046,0.107,-0.754,0.075,-0.697,-0.302,0.725,0.982,0.248,0.772,0.673,1.393,0.167,-2.241,-1.013,0.041,0.361,-1.754,0.406,39.811
64,0.388,-0.711,0.033,-0.031,-0.081,0.061,-1.411,-0.479,-0.883,-1.504,-1.413,0.375,-0.768,-0.665,0.374,-1.387,1.268,-0.398,-0.69,57.648
65,0.364,0.228,0.225,0.243,0.251,0.28,-1.732,-0.032,-0.847,-1.154,-0.737,-1.336,-1.019,-0.864,0.266,-1.252,-1.453,1.872,-0.22,53.626
66,-0.819,-0.36,-0.007,0.39,-0.063,0.236,0.495,0.57,0.623,0.667,0.661,-1.544,-0.048,1.154,-0.82,-1.315,-0.515,-0.23,0.61,39.618
67,1.312,0.762,0.419,-0.137,0.338,0.681,-1.452,-1.327,-0.644,-0.819,-0.62,0.197,0.326,-1.331,1.149,1.754,-0.197,1.036,0.167,60.173
68,-1.397,-0.928,-0.743,-1.768,-1.419,-1.673,-2.107,-2.211,-1.0,-1.772,-1.958,-0.18,0.583,0.496,0.65,-0.061,0.725,-1.028,-0.128,25.973
69,-0.815,-0.163,-1.109,0.8,1.202,0.419,0.384,0.713,0.487,1.455,1.24,0.781,-0.552,-1.362,1.977,-2.335,-0.565,-0.809,0.364,44.988
70,-0.919,-1.298,-1.05,-1.472,-1.804,-0.834,0.457,0.216,0.161,-1.772,-1.23,-1.529,1.417,0.934,-0.351,-0.399,0.204,0.881,-0.553,42.396
71,0.349,-0.298,0.6,0.222,0.515,0.167,0.818,0.741,0.555,1.713,1.509,0.918,0.329,0.448,-1.535,-1.876,-0.298,-0.671,-2.825,54.075
72,-1.256,-0.452,0.28,0.539,0.478,0.053,-1.675,-1.304,-1.337,0.344,0.1,0.273,2.036,-0.445,-0.51,-0.192,-1.339,0.063,-0.43,35.815
73,0.392,0.601,1.165,0.941,0.43,0.669,0.42,0.751,0.73,-0.062,-0.334,-0.37,0.972,1.424,-0.074,-1.984,-0.018,-0.584,-0.614,60.244
74,-0.638,-0.347,-0.29,-0.734,-0.063,-0.388,-0.407,0.331,-0.187,-0.29,0.224,-1.706,-0.407,-0.315,0.772,0.304,0.302,-0.892,-0.186,44.463
75,-0.541,-0.172,0.841,-0.3,0.609,0.297,-1.417,-1.174,-1.226,0.506,0.422,1.317,1.641,-0.117,0.648,0.633,-0.532,0.536,-0.76,37.287
76,-0.713,-1.529,0.096,-1.077,-1.411,-1.265,0.034,-0.344,-0.574,-0.62,-0.463,0.26,-0.679,-0.114,-1.256,1.297,0.237,0.419,1.209,36.054
77,-0.166,-0.04,0.073,1.191,0.546,1.161,0.494,0.776,0.104,0.293,0.187,0.254,-0.595,-0.611,0.919,0.28,-0.702,1.476,-0.655,60.0
78,-0.38,-0.312,-0.537,-0.953,-0.924,-0.991,-0.072,-0.274,-0.087,0.747,0.294,-0.247,0.662,-1.197,1.056,-0.904,0.366,-1.237,-0.404,44.062
79,-0.984,-0.85,-0.072,1.007,1.781,1.072,-0.005,0.147,0.116,0.026,0.459,-0.081,-1.076,-0.425,0.925,-0.478,1.539,0.282,-0.436,36.72
80,-0.404,-0.765,-0.217,1.411,1.287,1.515,-2.521,-2.068,-1.626,-0.88,-0.806,-0.175,-0.266,-0.731,0.303,-2.003,-0.475,-0.991,1.664,48.354
81,-1.163,-0.935,-1.164,0.32,0.774,-0.199,-1.018,-0.668,-1.298,0.315,0.066,-1.025,-0.529,-1.609,-0.103,-0.023,-0.931,-0.839,-1.789,44.141
82,0.768,0.692,0.61,-1.083,-1.033,-1.388,-1.594,-1.592,-1.103,-1.279,-0.872,-0.97,0.213,0.628,1.55,-0.119,0.75,-1.062,-0.704,47.822
83,-0.582,-0.028,-0.843,-0.12,0.239,-0.35,1.813,1.357,0.763,0.779,0.019,-0.504,0.653,0.843,-0.621,0.318,0.144,-1.366,-1.13,45.886
84,1.019,0.885,0.905,-0.627,-1.086,-0.254,-1.207,-0.809,-0.366,0.587,0.354,-0.475,-0.423,1.246,0.086,-0.828,-0.882,-0.606,2.09,52.478
85,0.14,0.098,0.353,-0.651,-0.487,-0.841,-0.771,-0.318,-1.055,-0.726,-0.427,0.026,-0.159,2.436,-1.138,-0.971,0.877,0.421,-1.144,48.122
86,-0.537,-0.878,0.066,0.057,-0.109,-0.37,0.268,0.048,0.251,1.195,0.753,0.596,0.663,-0.025,-1.818,1.352,-0.28,0.929,0.594,41.884
87,-2.104,-1.927,-1.605,0.487,0.064,0.108,0.152,-0.113,0.526,-1.16,-0.422,0.104,-0.782,-0.13,1.049,0.913,0.091,1.021,-0.205,34.067
88,2.099,1.511,1.485,-0.743,-0.638,-0.542,2.32,1.521,0.945,1.928,1.64,0.895,-0.326,-1.147,-1.318,1.132,-0.35,0.976,0.809,61.676
89,-1.281,-1.319,-0.425,-0.477,-0.086,-0.421,-0.749,-0.292,-0.676,0.255,0.055,-0.47,-1.624,-1.577,-0.381,0.446,0.283,-2.367,1.19,38.255
90,-2.578,-1.327,-1.956,-0.839,-0.934,-1.178,-1.432,-1.275,-0.119,0.195,0.262,0.975,-1.914,1.593,-1.145,-0.218,-0.985,0.304,-1.198,27.997
91,0.5,1.032,0.268,-0.682,-0.099,-0.554,-0.009,0.247,-0.404,-0.968,-1.163,-0.375,-1.241,-0.626,-1.371,-0.697,0.128,-1.219,1.08,54.251
92,1.612,1.101,1.43,-0.27,0.153,-0.171,-2.26,-1.527,-1.304,1.743,1.445,-1.67,-1.265,-1.976,-0.033,1.825,0.855,-0.045,-1.306,52.116
93,-0.496,-1.111,-1.104,2.894,2.353,2.436,-0.865,-0.55,-0.33,0.949,0.432,0.349,1.155,0.772,-1.1,0.128,1.263,0.567,-0.635,43.224
94,1.437,0.695,0.983,-1.519,-1.363,-1.488,-0.14,-0.471,-0.971,-1.137,-0.603,0.789,-0.9,-0.899,0.281,1.576,1.152,1.683,0.344,52.117
95,-1.244,-1.831,-0.25,0.413,0.821,0.543,-1.591,-1.181,-1.399,0.311,0.201,-0.299,-2.082,-0.935,-0.783,-0.8,-0.385,0.996,1.307,32.2
96,0.294,0.207,0.641,-0.64,-0.866,-0.178,-0.855,-0.057,-0.617,0.754,0.187,-0.34,-0.928,0.838,-0.717,-0.19,0.527,1.2,-1.103,50.52
97,1.44,1.071,2.312,-0.347,0.171,-0.4,1.595,1.506,0.993,-1.917,-1.29,-0.57,-1.186,-0.244,-1.076,0.153,-0.534,0.793,1.412,69.953
98,-0.605,-0.23,-1.025,-1.84,-1.579,-0.87,-0.52,-0.101,-0.759,-1.093,-1.085,-0.819,1.211,-0.415,1.365,-1.308,0.192,-0.282,0.527,40.416
99,-1.552,-1.814,-0.605,-1.272,-1.093,-0.438,0.419,0.246,0.75,-0.032,0.123,1.454,-0.374,0.026,-0.748,-1.184,0.983,-0.408,0.209,45.601
100,1.999,1.393,1.408,0.531,0.424,0.769,-1.184,-1.2,-0.772,0.027,-0.612,1.758,-1.577,-0.054,0.869,-1.097,-0.427,-0.324,0.704,61.962
101,-0.274,0.064,-0.558,0.194,-0.336,-0.828,-2.647,-2.392,-2.034,-0.075,-0.053,-0.006,-0.114,-1.492,0.576,0.333,0.293,-0.697,1.379,37.645
102,-1.354,-1.558,-0.809,-0.599,-0.477,-0.328,-0.963,-0.656,-0.396,0.811,0.13,0.384,-0.318,-0.874,-1.002,0.935,0.767,-0.667,-0.525,28.503
103,-1.155,-1.011,-1.734,-0.112,0.127,-0.05,0.051,-0.273,-0.252,0.115,0.162,-0.627,0.328,-0.369,1.316,0.814,0.629,-0.206,-0.195,44.473
104,-0.832,-0.332,-0.354,-0.607,-0.881,-0.574,0.074,0.246,-0.357,-1.678,-1.24,1.172,0.249,0.37,0.799,0.881,-1.137,-0.56,1.034,44.545
105,-0.108,0.007,-0.434,0.142,0.417,0.812,0.335,-0.126,0.579,-0.82,-0.43,-0.509,-0.599,0.325,0.808,-0.604,-0.592,0.516,-1.907,62.227
106,-0.891,-0.995,-1.49,1.712,1.387,0.493,-0.66,-0.16,-0.379,0.473,0.323,0.972,-0.199,-0.536,-0.242,-0.394,0.558,0.329,-1.565,43.729
107,0.027,-0.086,0.167,-1.109,-1.144,-0.483,0.457,0.485,0.128,0.446,0.632,-1.206,0.506,1.618,0.245,-0.264,-0.061,-0.02,-0.204,40.501
108,-1.674,-0.956,-1.019,-0.102,0.261,0.194,-0.212,-0.201,-0.858,1.169,0.845,2.104,1.124,0.384,-1.341,1.093,-0.164,-0.084,0.616,31.907
109,-2.045,-1.18,-1.205,-0.052,-0.879,-0.094,-0.21,0.592,-0.378,-0.636,-0.252,0.124,0.147,1.435,0.607,-0.789,0.664,-1.051,-0.834,36.947
110,0.091,0.065,0.073,-0.483,-0.548,-0.567,-0.815,-0.947,-0.67,-0.894,-0.883,-0.837,-1.553,-0.155,-0.345,-0.571,0.276,0.277,0.458,50.41
111,0.098,0.365,0.739,0.671,0.78,1.695,-1.221,-1.794,-1.078,0.214,0.282,-0.014,0.97,0.24,1.466,-0.672,0.484,-0.221,1.209,51.38
112,-0.045,-0.299,-0.398,0.493,-0.036,0.459,0.874,0.238,1.683,1.486,0.928,0.578,-0.171,0.819,-0.776,-0.018,-0.079,0.607,0.947,45.607
113,0.084,0.124,-0.37,-2.281,-1.659,-1.242,0.387,0.365,1.035,-0.152,-0.087,0.954,0.075,1.651,-0.822,0.35,-0.279,-1.806,0.207,39.593
114,-0.193,-0.729,0.69,1.418,1.209,1.259,-1.941,-1.172,-1.381,-0.342,-0.722,1.126,0.561,0.376,-0.782,-1.24,-0.17,-0.198,-0.626,48.839
115,-0.217,-0.281,0.131,1.137,0.626,1.092,-0.327,-0.067,-0.36,-0.432,-0.201,0.823,0.004,1.858,0.221,-0.12,0.436,-0.801,-1.668,38.912
116,-0.89,-0.935,-0.824,0.619,0.375,0.54,0.177,0.845,0.483,1.411,0.711,0.962,-2.1,0.391,0.386,0.223,1.517,1.972,0.322,45.223
117,-0.826,-0.862,0.15,-1.505,-1.567,-1.424,-1.632,-1.433,-1.382,0.079,0.369,0.439,1.837,-0.428,-2.979,-1.052,0.441,-0.591,0.626,24.969
118,0.175,0.043,-0.034,-0.638,-1.115,-0.93,-0.384,0.165,0.719,-0.009,-0.595,0.21,1.576,-0.872,-0.428,0.42,-0.816,0.731,-2.063,51.454
119,0.97,0.721,0.735,-0.201,-0.327,-0.178,-0.037,0.148,0.097,0.852,0.517,-2.397,0.31,-1.36,-2.246,-0.833,-0.279,0.612,0.514,56.91
120,-2.614,-2.475,-2.825,-0.035,0.081,0.913,0.827,0.358,-0.028,-0.262,-0.094,-0.11,1.622,0.12,0.086,-0.958,-0.608,0.637,0.592,36.401
121,-0.181,-0.401,0.212,-0.162,-0.637,-0.809,-0.227,0.147,-0.327,-0.71,-1.106,0.987,-0.185,1.25,-0.307,1.036,-0.259,-0.353,-1.118,44.908
122,0.717,0.236,0.355,-0.017,-0.067,-0.074,0.6,-0.27,0.444,-1.075,-0.801,-0.747,-0.672,1.715,0.711,0.895,-0.283,1.413,-0.118,51.343
123,1.035,0.994,1.111,-0.087,-0.261,-0.105,1.409,1.058,1.019,-1.891,-1.79,1.42,0.218,-0.49,-0.043,0.035,1.605,-0.724,-0.714,61.887
124,0.635,0.762,1.194,0.212,-0.195,0.063,-0.267,-0.158,-0.68,-1.09,-1.07,-1.786,-0.351,1.204,-0.482,-1.174,-0.824,1.584,-0.055,61.872
125,-0.093,0.273,-0.802,1.5,0.789,0.455,-0.437,-0.468,-0.632,1.107,1.096,-1.023,-0.462,-1.543,-0.016,-0.296,0.029,-0.484,0.438,55.896
126,1.142,1.781,1.039,-0.675,-0.699,-0.095,0.785,0.488,0.221,-0.069,-0.114,0.669,0.141,-0.426,-2.049,-0.537,0.502,1.086,0.781,54.072
127,0.326,0.968,0.735,-0.365,-0.526,-0.385,1.308,1.341,0.902,0.826,0.887,1.272,-1.414,2.182,-1.23,-0.175,-0.75,0.178,-0.871,56.034
128,1.297,1.114,1.462,0.77,0.9,0.963,-1.273,-1.147,-1.239,1.786,1.552,-1.589,1.038,-1.283,0.006,-1.323,-0.358,-0.146,-1.638,52.772
129,0.193,0.199,-0.09,1.582,1.39,1.14,-0.343,0.027,0.38,-1.298,-0.874,-0.021,0.356,0.923,-0.175,0.293,0.383,0.375,-0.244,58.733
130,-0.181,-0.282,-0.52,-0.915,-0.624,-1.053,1.568,1.466,1.045,0.628,0.45,-1.12,1.076,0.443,-0.099,0.976,0.732,0.217,-0.113,39.507
131,-0.579,-0.051,0.492,1.402,1.597,1.08,-0.655,-0.634,-0.35,0.007,-0.432,0.809,-0.735,-0.188,-0.66,-0.243,1.667,0.53,-0.278,50.304
132,0.54,0.473,1.051,-1.362,-1.131,-0.641,-2.645,-1.718,-1.158,-0.306,0.056,-2.459,0.324,0.163,-1.238,-1.977,0.35,0.52,0.583,38.499
133,-0.887,-1.031,-1.368,1.012,1.426,1.274,-1.774,-0.858,-1.128,0.598,0.621,-1.063,0.302,-0.279,-1.02,-2.52,2.27,-0.701,-1.087,39.136
134,0.175,0.409,-0.341,2.22,2.053,1.664,0.03,-0.145,0.097,0.126,-0.187,1.33,-1.684,0.053,0.693,1.778,0.774,-1.07,-2.855,69.723
135,-1.038,-0.564,-1.547,-0.311,0.096,-0.321,1.574,1.791,0.646,1.952,1.704,-0.082,1.049,0.899,0.181,0.172,1.376,0.19,0.141,48.87
136,-0.511,-0.642,-0.486,-0.608,-0.71,-0.913,-0.724,-0.616,-0.23,-1.264,-1.225,1.283,1.298,-0.57,-0.034,0.579,-0.725,-1.398,0.741,40.54
137,0.18,-0.767,-0.375,-0.943,-0.104,-0.828,-0.837,-1.21,-0.148,1.812,1.597,0.047,0.014,-0.683,1.101,-0.34,-0.338,1.64,-0.004,44.41
138,0.027,-0.067,0.482,-0.522,-0.239,-0.554,1.682,1.178,1.126,-0.691,-0.659,-0.428,-1.449,-0.15,-0.069,1.116,-0.924,0.043,0.805,56.098
139,-0.681,-1.062,-0.592,-0.572,-1.186,-0.667,-1.979,-1.126,-1.295,-2.003,-1.516,-1.62,-0.759,-0.877,0.738,-0.446,1.05,-0.469,0.218,40.869
140,-0.054,-0.844,-0.467,0.063,0.424,0.308,0.55,-0.035,0.447,-0.394,-0.52,0.483,-0.136,1.505,1.25,0.549,1.271,-0.008,0.389,59.249
141,-0.669,-0.54,-0.394,0.467,1.127,0.048,-0.928,-0.372,-0.524,1.216,0.998,0.607,1.439,0.039,-0.503,-0.225,-0.053,1.204,0.035,45.435
142,-0.344,-0.387,-0.21,0.185,0.284,0.436,-0.445,-0.671,-0.319,-0.609,-0.567,-2.992,-0.116,1.227,-1.105,0.401,-0.409,0.489,-0.268,51.472
143,0.647,0.849,1.111,-0.045,0.047,-0.296,0.885,0.253,0.672,1.236,1.47,1.177,0.782,1.967,-0.25,1.03,0.355,-0.239,0.188,49.943
144,-2.608,-1.695,-2.001,-0.838,-0.84,-0.59,-1.744,-1.942,-1.577,-1.854,-2.048,0.481,-1.602,-0.428,0.315,0.855,-0.536,1.397,-0.819,28.608
145,-0.565,-0.383,-0.772,-0.401,-0.813,-0.38,0.041,-0.016,-0.19,0.618,0.582,-0.16,1.619,-1.645,-0.263,-0.258,0.943,-1.079,0.92,44.936
146,-0.743,-0.506,-0.298,0.45,0.931,1.108,1.347,1.576,2.208,-1.084,-0.861,-0.182,-0.4,1.755,-1.252,0.905,0.456,0.586,1.446,58.321
147,-1.412,-0.791,-0.209,-1.322,-0.706,-0.636,-0.044,-0.593,0.488,-0.983,-1.054,0.768,-0.298,-1.128,0.755,-0.721,-0.478,-0.673,0.327,46.648
148,0.957,1.783,0.745,0.759,0.14,0.372,1.243,1.266,0.997,-0.828,-0.535,0.467,-1.126,0.48,-0.129,-0.516,-1.438,0.394,-0.273,71.896
149,0.866,0.379,1.118,0.153,0.207,0.526,-0.024,-0.693,0.276,0.466,0.513,-0.195,-2.5,1.188,-0.313,-0.667,1.075,1.517,-0.484,57.484
150,-0.757,-0.317,-0.98,0.323,0.576,0.33,-1.485,-0.732,-0.373,-0.856,-0.768,-0.086,0.798,-0.296,-0.439,0.071,-1.582,0.714,-2.245,36.896
