customer_id,true_segment,high_value,visits_per_month,avg_order_value,discount_rate,email_opens,tenure_months,support_contacts,returns_per_year
P0230,premium_loyal,1,12,67.65,0.124,11,33,1,2
P0231,deal_seeker,0,2,45.05,0.384,2,11,2,2
P0232,budget_regular,0,9,11.72,0.17,7,22,1,1
P0233,premium_loyal,1,17,87.5,0.168,10,36,0,3
P0234,deal_seeker,0,7,25.31,0.417,3,18,3,1
P0235,budget_regular,0,8,24.77,0.126,4,25,2,1
P0236,premium_loyal,1,13,67.67,0.143,5,33,1,2
P0237,deal_seeker,0,2,32.67,0.499,0,5,2,1
P0238,budget_regular,0,11,33.05,0.089,5,23,1,0
P0239,premium_loyal,1,13,78.62,0.142,9,32,0,2
P0240,deal_seeker,0,3,25.61,0.377,1,11,1,3
P0241,budget_regular,0,8,18.86,0.161,4,31,1,2
P0242,premium_loyal,1,13,61.09,0.081,10,35,2,2
P0243,deal_seeker,0,3,27.3,0.37,1,8,2,3
P0244,budget_regular,0,5,31.66,0.116,3,18,3,1
P0245,premium_loyal,1,15,71.29,0.178,9,29,2,2
P0246,deal_seeker,0,1,22.09,0.396,0,1,2,2
P0247,budget_regular,0,6,20.17,0.186,3,21,2,0
P0248,premium_loyal,1,13,75.46,0.162,10,33,2,2
P0249,deal_seeker,0,4,29.44,0.407,1,17,3,3
P0250,budget_regular,0,11,28.34,0.13,5,23,2,0
P0251,premium_loyal,1,16,67.19,0.042,8,28,1,2
P0252,deal_seeker,0,7,45.74,0.357,6,20,3,1
P0253,budget_regular,0,8,10.88,0.227,5,21,2,1
P0254,premium_loyal,1,16,73.74,0.135,9,31,0,1
P0255,deal_seeker,0,3,34.88,0.467,1,3,2,3
P0256,budget_regular,0,10,28.28,0.159,5,31,1,1
P0257,premium_loyal,1,13,71.49,0.135,8,27,2,1
P0258,deal_seeker,0,3,32.78,0.322,2,6,3,1
P0259,budget_regular,0,9,38.95,0.078,4,17,2,1
P0260,premium_loyal,1,16,69.62,0.142,8,35,1,2
P0261,deal_seeker,0,2,34.79,0.374,1,18,4,2
P0262,budget_regular,0,10,29.66,0.118,6,23,1,0
P0263,premium_loyal,1,15,77.67,0.192,9,32,1,2
P0264,deal_seeker,0,3,41.6,0.428,2,13,3,3
P0265,budget_regular,0,11,29.11,0.135,5,21,0,0
P0266,premium_loyal,1,9,94.46,0.226,6,29,3,2
P0267,deal_seeker,0,4,31.37,0.438,0,4,3,3
P0268,budget_regular,0,9,22.1,0.183,8,24,3,1
P0269,premium_loyal,1,13,54.4,0.154,7,29,0,0
P0270,deal_seeker,0,2,33.7,0.423,2,2,4,3
