id,event,x1,x2,x3,group
167,1,-1.201,-1.062,0.573,A
168,1,-0.239,-0.496,3.285,C
169,1,0.67,-2.517,2.218,C
170,0,0.57,0.901,0.571,B
171,0,-1.164,0.36,2.581,A
172,0,0.757,1.385,1.069,B
173,1,0.984,-1.268,1.695,B
174,0,0.327,-0.601,3.52,C
175,1,2.004,0.672,3.552,B
176,0,-1.182,0.761,0.141,B
177,1,0.597,-1.629,0.98,B
178,0,-0.251,1.155,3.393,A
179,1,0.917,-0.283,2.153,C
180,1,1.604,0.277,1.189,B
181,1,-0.421,-0.733,3.646,A
182,0,0.562,0.584,3.472,B
183,1,-0.18,-0.346,2.321,C
184,0,-1.15,1.984,0.247,C
185,0,2.304,0.689,1.48,C
186,1,1.323,0.397,3.817,C
187,0,0.401,2.034,2.468,A
188,1,0.233,-0.169,0.166,A
189,0,1.04,-0.038,2.633,A
190,0,1.087,-0.824,0.61,B
191,1,-0.027,-0.906,2.92,B
192,1,0.412,-1.634,2.819,A
193,1,0.049,-0.728,3.298,B
194,0,-2.116,-0.4,1.713,A
195,1,0.031,-0.204,3.927,C
196,0,1.408,0.71,2.057,A
197,0,-2.226,0.198,0.63,A
198,1,1.074,-0.11,0.29,B
199,1,-1.034,-0.072,3.536,C
200,0,-0.366,-1.103,1.408,C
201,1,0.815,-1.023,2.251,A
202,0,-0.596,-1.131,3.206,A
203,1,0.232,0.855,1.827,C
204,0,-0.169,0.856,0.431,C
205,1,0.719,-0.562,2.303,B
206,1,-2.019,-1.45,3.303,A
207,1,0.895,-1.122,1.738,C
208,0,-0.264,1.758,2.111,B
209,0,0.283,2.021,1.737,B
210,0,-0.303,-0.95,3.284,A
211,1,-1.239,-1.467,1.139,B
212,0,0.873,-0.538,0.211,C
213,1,0.653,-0.626,3.398,A
214,1,0.381,0.368,3.591,B
215,1,0.947,0.94,3.712,C
216,0,-0.087,1.752,1.697,B
217,0,1.531,0.83,0.957,C
218,1,-1.351,-0.142,0.511,C
219,1,-0.439,-1.208,3.956,B
220,0,-1.377,1.477,3.395,C
221,1,0.171,-0.876,3.552,C
222,1,0.984,-1.246,1.343,B
223,0,-0.863,-0.296,3.504,C
224,1,0.179,0.617,2.916,B
225,0,-0.394,0.985,0.182,C
226,1,1.015,-0.726,0.975,A
227,1,0.074,-0.057,2.939,C
228,0,0.075,0.106,2.589,A
229,1,0.402,0.772,0.344,A
230,1,0.278,-0.35,3.788,B
231,0,-1.279,-0.925,3.641,C
232,1,1.086,-2.221,1.767,A
233,0,-0.554,1.675,3.791,C
234,0,-1.659,-0.189,2.075,B
235,1,0.888,0.739,2.08,C
236,1,1.719,0.867,0.859,C
237,1,-0.865,-1.724,3.863,C
238,1,0.186,-0.039,0.544,A
239,0,-0.842,1.256,0.389,A
240,0,-1.409,-1.713,0.611,C
241,1,-0.042,-0.596,1.641,C
242,1,-0.176,-0.515,2.522,C
243,0,-0.302,0.933,0.028,B
244,0,1.289,-0.253,1.822,C
245,1,0.121,0.676,3.553,C
246,1,-0.417,-1.761,0.926,C
247,1,1.49,-1.722,3.641,A
248,1,0.512,-0.563,3.957,C
249,0,0.663,1.109,3.359,B
250,0,-0.178,-0.415,3.737,B
251,1,0.17,-1.984,0.156,A
252,0,-0.789,1.26,3.256,B
253,1,0.786,0.23,1.973,B
254,0,-2.653,-1.129,0.463,C
255,1,1.531,-1.141,1.336,C
256,1,0.13,-0.944,3.168,B
257,0,-0.098,-0.633,0.333,B
258,0,0.87,0.415,0.425,A
259,0,-1.15,-0.942,0.454,C
260,0,0.175,1.218,3.988,A
