id,y,x1,x2,x3,x4,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8
28,9.787,0.252,0.809,0.065,-0.614,-0.828,0.774,0.603,1.211,0.334,0.768,-0.84,-2.576
29,11.757,0.318,0.39,-0.576,-0.134,0.911,0.954,-1.267,-1.488,-1.082,0.724,0.375,-0.421
30,6.182,-0.787,1.941,-0.15,0.158,0.573,0.023,0.262,-1.168,-0.636,-0.761,0.726,0.342
31,19.74,0.993,0.001,1.61,-0.479,0.879,0.874,-0.703,-0.382,-1.143,-0.023,0.817,-0.513
32,7.489,-0.267,0.815,-1.096,1.005,0.44,1.231,1.246,0.842,-0.162,0.699,0.708,-1.246
33,1.941,-2.484,-0.228,-0.79,-0.841,-0.936,-0.704,0.361,-0.431,1.01,1.684,-1.04,-0.247
34,3.901,-1.203,0.843,-0.791,0.199,-0.953,0.044,1.199,0.12,-0.479,-0.414,0.538,0.147
35,8.739,0.358,1.613,-1.235,-1.474,-0.251,0.431,-0.615,1.352,-0.511,0.889,-1.544,-0.256
36,22.751,1.1,0.019,1.555,0.846,0.767,-2.65,0.096,-1.168,-0.889,1.418,1.549,1.793
37,30.064,1.847,-0.307,1.978,0.431,0.308,0.368,-1.638,0.373,-1.994,0.726,1.356,0.347
38,9.168,-0.82,1.24,-1.213,1.502,-0.739,0.56,-1.466,0.73,0.544,0.033,-1.118,-0.701
39,17.074,0.287,0.768,-1.426,-0.096,1.49,0.223,0.41,1.34,-0.056,0.934,-0.739,0.601
40,13.508,-0.055,-1.999,-0.845,-1.712,1.859,-0.463,0.967,-1.433,-1.29,1.178,-0.744,-1.48
41,3.844,-0.234,1.588,0.388,1.397,1.994,-0.676,-0.44,0.115,-0.857,-0.076,0.444,-0.05
42,20.475,0.328,-0.054,-1.808,-0.856,1.05,-0.083,-1.096,0.259,0.092,-0.871,-0.72,-3.062
43,11.563,0.014,0.365,0.445,-0.138,0.857,0.639,-0.647,-0.295,-0.394,2.425,-0.138,-0.88
44,15.407,0.35,1.194,-1.068,-1.587,-0.933,-1.258,-0.701,-0.894,0.406,1.087,-1.246,0.286
45,15.322,-0.043,-0.996,-0.244,-0.262,-0.84,0.376,0.038,0.43,-1.507,-2.747,-0.205,0.213
46,7.41,-1.542,0.297,-1.719,-0.627,-1.512,-1.116,1.36,-0.985,-1.072,-0.496,-1.092,-1.02
47,19.058,0.682,-1.692,-0.423,0.171,-0.682,-0.695,0.594,-0.689,-1.688,0.471,-2.07,-0.484
48,24.29,1.283,-1.956,0.933,-0.658,0.829,-0.396,0.535,0.152,0.171,-0.83,0.766,1.999
49,16.317,1.315,0.824,0.053,-0.514,-1.378,-0.232,-0.354,-0.903,0.228,-0.863,0.858,0.481
50,13.044,-0.073,0.207,-0.147,0.569,0.12,0.258,0.461,-1.215,-0.497,0.982,-1.083,-0.061
51,24.618,1.15,-1.586,-1.05,1.269,0.46,0.884,-0.072,-0.075,1.412,-0.9,0.82,1.219
52,15.233,0.396,-0.444,0.613,-1.062,-0.969,0.242,0.358,-0.954,1.593,0.063,-1.693,0.686
53,13.046,-1.455,-0.881,0.416,-0.137,1.393,1.374,1.031,-0.389,0.52,-1.038,-0.357,-0.652
54,7.396,-0.622,1.582,-1.094,-0.199,-1.409,0.268,1.584,2.887,-0.109,0.052,0.702,-0.42
55,11.583,-0.059,-0.916,-1.54,-0.629,0.346,0.55,-0.04,-0.81,-2.479,0.851,1.279,-0.454
56,19.848,1.323,-0.803,-0.881,-0.164,1.533,-0.207,1.047,1.868,1.459,-0.581,-0.072,0.624
57,16.649,0.468,-0.344,0.896,0.061,-1.595,-1.09,0.402,0.91,-0.119,0.494,-1.477,0.251
58,20.244,1.131,0.362,0.831,-0.565,1.754,-2.198,-1.246,-0.635,0.25,-0.891,0.774,1.444
59,9.535,-0.858,0.039,0.652,-0.018,-0.059,0.448,-1.092,-0.024,0.175,-0.672,0.665,1.307
60,20.407,1.217,-0.878,-0.402,-0.697,0.884,-0.167,-2.387,0.183,0.445,-0.924,1.493,1.802
61,14.994,0.134,-1.172,-1.515,0.491,0.681,-0.89,-0.385,0.588,0.539,-1.41,-0.466,0.517
62,15.958,-0.385,0.339,1.627,-1.084,1.184,-0.519,-0.452,-0.015,-0.427,-0.653,0.737,0.259
63,22.453,0.697,-0.335,1.89,0.866,2.465,0.547,-0.002,1.545,-0.654,-0.66,-0.27,-1.62
64,28.081,1.867,-1.732,-1.055,0.561,1.438,1.261,1.178,0.754,-0.325,2.09,0.532,0.373
65,21.856,0.487,-2.62,0.314,0.45,0.13,-1.988,0.031,-0.593,0.525,1.415,0.148,-0.682
66,6.502,-0.674,-0.533,0.772,-1.559,-0.233,0.447,-0.779,-0.709,-0.092,-0.19,-0.16,-0.417
67,7.731,-1.477,-0.346,-0.459,0.68,-0.747,0.143,1.508,-0.52,-0.207,-0.488,-1.491,-0.301
68,6.72,0.195,0.681,0.28,-0.118,0.889,1.415,-0.116,-0.433,2.13,0.578,1.861,-0.98
69,10.158,-0.203,-0.252,0.351,-0.173,-1.272,0.897,-0.423,-0.851,1.141,-0.109,-0.707,0.228
70,9.861,-0.575,1.042,1.012,0.824,-1.626,-1.666,2.182,0.872,-0.411,1.982,-0.101,-0.035
71,18.262,1.011,-0.346,1.129,-1.675,-0.851,0.692,-1.11,0.515,0.755,-1.13,-0.208,0.663
72,9.35,-0.78,-0.79,-0.585,2.536,1.59,-2.142,0.81,-1.63,1.665,-0.821,0.013,-0.656
73,18.001,0.504,-0.585,0.827,0.152,1.156,0.916,-0.517,0.726,-1.441,1.0,-1.546,1.142
74,19.082,0.184,0.053,1.328,0.005,-0.327,-0.622,0.639,-0.981,1.356,0.941,-0.768,-0.184
75,15.606,-0.727,-0.298,-1.529,0.691,-0.708,1.608,0.655,0.593,1.146,-2.076,0.281,-0.683
76,4.73,-0.385,0.235,-0.51,-0.042,-0.056,-2.089,-0.429,1.895,-0.492,-1.439,0.385,-1.4
77,15.014,-1.103,-0.441,-1.313,0.259,2.556,-1.792,0.354,-1.559,-0.538,-0.187,0.119,-0.141
78,10.727,-0.118,2.131,1.901,-1.097,-0.898,-0.113,-1.263,0.841,-0.77,-0.22,-2.239,-0.028
79,10.828,-0.684,1.076,-1.697,-0.612,-1.574,0.25,-0.329,-1.72,0.18,0.826,-0.284,-2.252
80,10.222,0.203,-0.85,0.562,0.193,-0.643,0.122,1.985,0.12,-2.067,-0.054,1.002,-0.934
81,10.437,-0.809,-0.396,0.334,-1.668,-0.044,-1.538,0.086,-1.153,-1.564,1.758,0.809,0.295
82,14.683,-1.837,-0.4,-1.939,-1.736,0.162,2.581,0.517,-2.502,-0.438,0.478,-0.675,1.538
83,10.005,-1.543,-1.755,-0.591,-0.434,0.773,-0.676,-0.227,0.957,-0.186,1.287,0.764,0.377
84,10.619,0.078,-0.054,-0.005,-0.94,-0.638,-1.095,2.204,0.496,-1.503,0.394,-0.444,0.017
85,1.964,-1.25,2.527,1.982,-2.512,0.302,0.825,0.159,-0.297,0.964,-0.1,-2.019,-0.141
86,16.267,0.249,-0.999,-1.365,1.746,0.352,-2.443,0.109,0.466,0.517,0.775,0.692,1.423
87,6.831,-0.445,0.925,0.857,0.949,1.728,-1.437,-0.299,1.592,-0.9,0.787,-1.524,-2.438
88,9.162,-0.653,0.031,1.172,1.421,0.593,0.404,-0.092,0.031,1.241,0.07,-0.804,1.583
89,13.233,1.597,0.868,-0.449,0.255,0.32,-0.419,1.11,-0.776,-0.421,0.968,-0.808,0.912
90,9.205,-0.664,0.851,-1.304,1.697,-0.085,-0.495,-0.396,1.187,0.117,-0.52,0.134,0.845
91,11.368,-0.224,1.081,1.274,0.465,1.393,0.563,1.233,0.678,1.544,-0.166,0.013,-0.549
92,11.457,0.162,1.494,-1.056,-0.266,1.772,-0.786,-1.02,1.368,-0.781,-0.083,0.393,-1.73
93,12.259,0.004,-0.676,0.49,0.379,2.046,1.588,-0.739,0.364,0.637,-0.09,-2.187,1.21
94,12.483,-0.213,-0.542,0.292,-1.573,-1.498,0.908,0.077,0.288,1.138,-0.209,-0.392,1.028
95,14.611,-0.502,-0.583,-0.5,-0.365,-0.454,-2.165,-0.594,0.267,0.908,1.54,-0.57,-0.026
96,23.013,0.877,0.026,-1.909,-0.716,-0.434,1.494,0.053,-0.242,1.303,-0.676,-0.701,0.938
97,17.341,0.45,0.682,1.492,1.29,-0.933,-0.571,-0.301,-1.591,0.86,0.385,0.572,-0.75
98,12.972,0.145,0.448,0.616,1.834,-0.139,-0.664,-0.023,-0.465,0.474,0.203,-0.292,1.721
99,10.198,0.231,1.215,-1.31,-0.71,0.397,0.812,1.125,-0.043,-1.062,0.606,0.608,1.001
100,15.716,0.029,1.331,-1.614,-0.311,-0.879,-0.797,0.773,0.876,-2.025,-1.174,-0.928,3.08
101,14.493,0.44,1.088,-0.17,0.169,-0.744,-0.924,-0.087,-0.319,-0.498,-0.652,0.36,0.493
102,11.02,-0.209,0.23,-1.255,0.056,1.407,-1.04,1.871,0.989,0.081,0.915,0.746,1.911
103,16.947,0.971,-0.394,-0.96,0.002,0.307,-0.043,1.945,-1.169,-0.248,-0.532,-1.533,0.44
104,8.915,0.347,1.219,0.905,0.66,-2.075,1.233,-0.229,-0.371,0.411,0.828,-1.463,0.119
105,13.738,0.206,0.122,0.825,1.799,-1.488,-0.592,0.965,-0.383,-0.326,0.359,0.678,1.881
106,20.11,1.498,-0.445,-1.482,0.56,1.182,1.873,0.47,-1.101,-0.306,0.101,-0.092,-0.023
107,18.693,1.999,0.093,-0.194,0.915,0.846,0.855,1.274,0.913,0.789,1.256,-0.573,-0.599
108,9.849,-0.006,-0.513,0.28,-0.266,-0.597,0.618,-1.899,0.019,1.258,0.548,-1.439,-0.298
109,21.528,1.111,-1.253,-0.724,-0.622,2.037,1.195,-1.743,0.11,0.822,-0.423,0.557,1.755
110,14.854,-0.397,0.527,1.497,-0.019,-0.809,0.268,-0.33,0.088,0.167,0.038,1.377,0.68
111,19.771,1.746,1.371,0.609,0.654,-0.338,-0.398,0.038,0.672,1.233,-0.357,-0.825,-1.614
112,20.664,0.42,0.351,-1.641,2.612,-0.37,-0.183,0.582,-0.183,0.498,-0.574,1.341,0.163
113,8.194,-0.732,1.747,-0.444,1.63,1.542,1.173,0.661,-0.462,-0.998,0.898,0.829,0.405
114,13.505,-0.318,-0.152,0.556,1.082,-0.884,0.228,0.063,-0.239,0.344,-0.489,-0.269,-0.716
115,9.054,-0.205,0.305,0.488,0.747,1.578,-0.807,-1.46,0.407,-0.919,0.939,0.289,0.058
116,16.765,0.724,0.518,-1.278,-1.212,1.116,-2.216,0.617,0.342,-0.784,-0.303,0.291,1.71
117,1.004,-1.977,1.573,-0.692,0.007,-0.353,0.31,-1.235,1.676,0.499,-0.174,0.804,-1.059
118,16.157,0.21,0.397,1.589,-1.284,0.295,1.211,-1.069,-0.054,-0.827,1.517,-2.509,-0.248
119,17.421,0.822,-0.698,0.203,-0.448,0.943,-0.217,0.448,-1.208,0.09,0.934,1.36,0.213
120,9.383,0.327,0.526,-0.358,-0.327,0.442,-0.202,-1.725,1.97,1.853,1.047,0.182,2.341
121,20.515,-0.461,-0.979,-1.853,0.197,0.355,0.569,1.358,1.087,0.857,-0.37,-0.789,-1.712
122,8.381,-1.174,0.497,0.526,-0.857,-0.26,-0.271,-0.179,-0.523,0.362,-0.633,-0.139,-1.172
123,15.666,1.115,2.062,-1.351,-1.674,-0.273,0.281,0.248,-1.533,-0.564,1.203,-0.337,-0.248
124,22.404,1.724,0.239,-0.909,0.544,0.038,-0.623,-1.291,-1.659,1.285,-0.249,0.344,1.056
125,8.633,0.509,2.211,-1.296,0.479,0.909,-0.719,-0.404,-0.77,0.167,0.224,0.334,-1.874
126,6.019,-0.441,1.484,-1.032,-2.055,-2.065,0.542,0.283,1.229,-0.061,-0.625,-0.185,0.361
127,18.984,1.24,1.898,1.808,-0.247,1.816,0.664,1.605,-0.386,0.922,0.81,1.031,-0.06
128,14.665,-0.439,-0.058,-1.483,0.373,-0.644,-0.09,1.647,0.792,-0.398,0.898,-0.736,0.236
129,16.095,-0.41,-1.353,1.379,0.293,0.685,-1.214,-0.521,0.523,-0.223,0.571,-2.159,0.124
130,13.849,0.929,0.62,0.146,-1.087,0.097,-1.544,-0.051,-1.677,-0.891,0.038,-1.843,1.55
131,16.058,0.711,0.218,0.515,-0.433,0.983,1.493,0.834,0.192,0.566,-0.987,-1.538,-0.305
132,18.113,1.094,-1.426,-1.173,0.21,2.103,-0.261,1.812,-0.325,0.338,0.461,1.195,-2.673
133,21.078,1.131,0.671,-0.116,-0.368,1.686,-0.16,-0.613,0.412,-0.175,-1.368,1.235,-0.312
134,7.968,0.004,3.058,-0.226,-0.234,-2.873,-1.542,1.397,-0.397,0.553,-1.276,-3.061,-0.821
135,17.64,0.551,0.233,0.058,0.671,-0.498,0.235,-0.692,1.183,-0.522,-0.629,0.6,1.093
136,16.927,-0.414,1.173,1.834,1.245,1.507,-3.151,-0.566,0.53,1.354,1.373,0.765,-0.081
137,17.96,0.465,-1.198,0.748,1.6,-1.905,-0.847,-0.54,1.231,-0.289,-1.083,-0.274,0.646
138,10.618,-0.578,0.352,0.95,-0.685,-0.784,-0.098,-0.675,-0.565,1.274,-3.003,-0.486,0.969
139,24.767,0.08,-1.344,-1.943,-0.838,0.429,-1.387,0.468,1.05,0.175,-0.656,0.785,1.457
140,11.759,0.699,1.253,-0.393,-0.17,-0.414,0.229,-0.163,-0.784,-0.96,-0.585,0.675,0.931
141,6.475,-0.086,0.6,-0.932,-1.29,-0.273,0.245,0.939,0.395,0.11,0.02,-1.512,-1.285
142,1.714,-0.859,1.39,-0.934,0.615,-0.001,-0.66,0.642,-1.304,1.225,-0.042,0.696,-1.337
143,19.346,0.023,-1.824,1.281,-1.059,0.157,-0.567,-1.872,-0.517,-0.157,0.299,-0.766,1.789
144,14.481,0.476,-0.343,-1.338,-0.452,-0.026,0.43,-0.842,0.209,0.04,0.364,-0.212,-1.582
145,7.646,-1.123,-0.368,-0.632,0.296,-0.72,1.786,0.404,-0.222,1.692,0.206,0.658,0.115
146,16.843,1.311,0.07,1.047,-0.224,-0.776,0.617,-0.565,-0.497,-1.703,0.343,-0.386,-1.903
147,21.883,1.212,-0.764,-1.228,0.605,-0.839,0.104,-0.118,-1.293,0.484,0.737,-0.776,0.589
148,1.946,-0.95,0.894,-0.093,-0.421,-1.386,-0.186,2.954,1.757,-0.235,0.738,0.121,-0.281
149,12.139,-0.052,0.411,-1.067,-0.154,0.304,0.636,-0.943,0.393,-0.436,0.458,0.395,0.355
150,17.162,1.222,-1.076,0.391,1.789,0.764,-1.194,0.881,0.747,-0.742,1.507,-0.179,0.992
151,8.373,-1.402,0.225,1.209,-0.076,-1.191,-2.696,0.921,0.738,-0.284,-1.12,-0.552,-1.08
152,16.562,-0.506,-0.023,-1.313,-0.14,1.411,-1.788,1.213,-2.019,-1.237,-0.788,0.242,-1.876
153,15.487,-0.406,1.182,1.955,-1.317,-1.178,-0.046,-1.382,-1.064,-0.311,0.106,0.72,0.401
154,13.654,-0.601,1.26,1.683,0.096,1.397,-0.099,0.305,1.273,-0.453,-0.281,-0.112,-0.17
155,10.919,-1.297,0.071,1.733,-0.207,0.779,1.412,-0.245,1.137,-0.184,-0.724,0.423,-0.411
156,7.798,-1.644,-1.598,1.592,-1.707,1.646,-1.771,0.011,-1.838,-1.282,0.184,0.419,0.848
157,2.988,-1.869,0.842,-0.31,0.028,-0.972,-0.569,-0.451,-0.092,-0.412,-0.835,0.891,0.207
158,22.901,2.367,1.302,-0.634,0.736,0.155,-0.172,-0.221,0.706,0.161,0.667,0.078,-1.366
159,24.357,1.947,-0.65,0.063,-1.504,-0.287,-1.68,1.113,1.295,0.873,-0.94,-0.226,0.181
160,19.172,1.54,-0.307,1.323,1.626,-1.818,0.114,0.711,-1.537,-1.628,-0.114,-0.89,-0.625
161,21.761,2.08,-0.657,0.622,0.102,2.145,0.691,-1.733,1.453,0.994,0.244,1.486,-0.685
162,11.161,-0.03,-1.465,-0.184,-1.717,-0.557,-1.195,-0.029,-2.276,0.066,-0.798,-0.09,-0.289
163,15.723,0.714,0.517,-0.204,-1.108,-1.343,0.754,0.024,-2.223,0.248,-0.588,1.076,1.162
164,10.092,-0.363,0.269,-1.029,-1.168,-0.884,0.195,0.207,-0.55,-0.298,-2.126,0.489,0.453
165,13.256,-0.638,-1.167,-0.916,1.72,-0.835,1.254,0.667,-1.587,0.214,0.046,0.402,1.549
166,16.182,-0.026,-1.22,-0.562,-0.639,0.38,-2.0,-1.109,1.79,0.742,-0.563,0.462,-1.427
167,13.549,0.864,0.69,-1.125,0.461,3.124,0.475,-0.743,1.045,1.463,-1.395,-1.866,-0.461
168,20.061,1.586,-0.231,-1.769,-0.514,2.379,2.115,-1.317,-1.42,-2.613,0.816,-0.824,-1.005
169,9.301,-0.391,0.329,1.064,0.227,2.122,-0.467,-0.051,-0.648,-0.138,1.168,-1.115,-1.854
170,-2.523,-3.441,-0.871,-0.079,0.609,-0.852,-2.299,-1.041,-0.98,-1.389,0.475,-0.884,-0.714
171,10.353,-0.59,1.714,-0.309,-0.422,-0.83,2.007,-0.858,-0.03,-0.256,-1.27,0.856,0.64
172,7.695,-0.307,2.312,-0.447,-0.22,0.769,-0.084,0.087,0.52,-0.902,0.44,0.072,0.499
173,12.023,-0.019,0.596,-1.149,0.182,0.189,0.034,-0.691,-0.852,0.164,-0.943,-0.912,-0.245
174,4.462,-1.059,0.481,0.457,-1.495,-1.821,1.94,0.03,0.409,0.31,0.573,0.924,0.361
175,16.762,-0.768,-0.614,1.993,-1.986,-0.32,-0.181,-0.233,-0.164,-0.928,0.936,2.826,-0.2
176,15.237,0.245,0.647,1.782,0.741,-0.596,0.983,0.7,-0.733,-1.45,0.205,-0.67,0.505
177,14.788,0.919,1.664,0.663,1.555,0.764,0.105,-0.673,0.694,2.19,-0.97,0.535,-0.054
178,10.935,-0.879,0.331,-1.383,0.283,-0.871,0.437,-0.391,1.33,0.301,0.237,-1.614,-0.148
179,14.448,-0.783,-0.679,1.443,-1.578,1.26,-0.51,-0.265,-1.841,0.835,2.101,-0.489,0.938
180,14.578,-0.099,0.252,-1.031,0.38,-1.111,0.195,-0.601,0.06,0.635,-1.371,-0.804,0.584
