student_id,school_id,year,treated,post,did,score,attendance,baseline_score
S01_017,S01,2026,0,1,0,77.9,0.981,72.94
S01_018,S01,2025,0,0,0,69.25,0.837,70.9
S01_018,S01,2026,0,1,0,72.86,0.971,70.9
S01_019,S01,2025,0,0,0,67.54,0.901,71.75
S01_019,S01,2026,0,1,0,66.21,0.913,71.75
S01_020,S01,2025,0,0,0,68.46,0.905,72.03
S01_020,S01,2026,0,1,0,73.07,0.876,72.03
S01_021,S01,2025,0,0,0,70.08,0.854,70.79
S01_021,S01,2026,0,1,0,71.29,0.891,70.79
S01_022,S01,2025,0,0,0,64.88,0.841,67.68
S01_022,S01,2026,0,1,0,69.42,0.953,67.68
S01_023,S01,2025,0,0,0,75.23,0.913,76.32
S01_023,S01,2026,0,1,0,74.3,0.918,76.32
S01_024,S01,2025,0,0,0,71.05,0.855,72.79
S01_024,S01,2026,0,1,0,74.73,0.906,72.79
S01_025,S01,2025,0,0,0,71.0,0.892,71.93
S01_025,S01,2026,0,1,0,73.83,0.935,71.93
S01_026,S01,2025,0,0,0,65.48,0.901,69.73
S01_026,S01,2026,0,1,0,66.73,0.895,69.73
S01_027,S01,2025,0,0,0,73.88,0.9,75.16
S01_027,S01,2026,0,1,0,77.24,0.867,75.16
S01_028,S01,2025,0,0,0,71.13,0.889,75.0
S01_028,S01,2026,0,1,0,75.87,0.931,75.0
S02_001,S02,2025,0,0,0,63.02,0.89,68.34
S02_001,S02,2026,0,1,0,65.45,0.902,68.34
S02_002,S02,2025,0,0,0,77.17,0.838,79.71
S02_002,S02,2026,0,1,0,82.83,0.958,79.71
S02_003,S02,2025,0,0,0,70.02,0.922,70.59
S02_003,S02,2026,0,1,0,70.06,0.906,70.59
S02_004,S02,2025,0,0,0,72.28,0.924,73.19
S02_004,S02,2026,0,1,0,76.52,0.919,73.19
S02_005,S02,2025,0,0,0,73.54,0.915,77.32
S02_005,S02,2026,0,1,0,76.33,0.966,77.32
S02_006,S02,2025,0,0,0,66.75,0.856,76.34
S02_006,S02,2026,0,1,0,76.4,0.86,76.34
S02_007,S02,2025,0,0,0,69.01,0.882,77.21
S02_007,S02,2026,0,1,0,74.39,0.823,77.21
S02_008,S02,2025,0,0,0,75.74,0.91,78.2
S02_008,S02,2026,0,1,0,76.09,0.882,78.2
S02_009,S02,2025,0,0,0,66.86,0.884,74.49
S02_009,S02,2026,0,1,0,70.57,0.954,74.49
S02_010,S02,2025,0,0,0,69.72,0.798,75.19
S02_010,S02,2026,0,1,0,75.86,0.885,75.19
S02_011,S02,2025,0,0,0,67.7,0.895,76.45
S02_011,S02,2026,0,1,0,79.22,0.903,76.45
S02_012,S02,2025,0,0,0,73.53,0.89,74.85
S02_012,S02,2026,0,1,0,74.48,0.924,74.85
S02_013,S02,2025,0,0,0,72.02,0.83,74.64
S02_013,S02,2026,0,1,0,78.61,0.826,74.64
S02_014,S02,2025,0,0,0,75.62,0.92,75.19
S02_014,S02,2026,0,1,0,75.76,0.915,75.19
S02_015,S02,2025,0,0,0,69.42,0.936,75.37
S02_015,S02,2026,0,1,0,73.35,0.902,75.37
S02_016,S02,2025,0,0,0,68.92,0.924,71.77
S02_016,S02,2026,0,1,0,72.77,0.915,71.77
S02_017,S02,2025,0,0,0,78.41,0.888,80.72
S02_017,S02,2026,0,1,0,84.39,0.914,80.72
S02_018,S02,2025,0,0,0,72.15,0.845,74.83
S02_018,S02,2026,0,1,0,73.24,0.883,74.83
S02_019,S02,2025,0,0,0,64.4,0.803,71.16
S02_019,S02,2026,0,1,0,66.32,0.866,71.16
S02_020,S02,2025,0,0,0,74.83,0.941,73.64
S02_020,S02,2026,0,1,0,71.87,0.941,73.64
S02_021,S02,2025,0,0,0,64.52,0.847,72.74
S02_021,S02,2026,0,1,0,70.11,0.926,72.74
S02_022,S02,2025,0,0,0,64.2,0.88,72.57
S02_022,S02,2026,0,1,0,71.44,0.879,72.57
S02_023,S02,2025,0,0,0,63.3,0.819,69.55
S02_023,S02,2026,0,1,0,70.66,0.913,69.55
S02_024,S02,2025,0,0,0,68.47,0.864,74.46
S02_024,S02,2026,0,1,0,73.66,0.84,74.46
S02_025,S02,2025,0,0,0,74.43,0.827,77.67
S02_025,S02,2026,0,1,0,72.96,0.887,77.67
S02_026,S02,2025,0,0,0,72.89,0.86,75.45
S02_026,S02,2026,0,1,0,75.74,0.891,75.45
S02_027,S02,2025,0,0,0,75.27,0.903,76.9
S02_027,S02,2026,0,1,0,73.42,0.935,76.9
S02_028,S02,2025,0,0,0,63.58,0.824,76.13
S02_028,S02,2026,0,1,0,68.43,0.862,76.13
S03_001,S03,2025,0,0,0,68.13,0.847,69.72
S03_001,S03,2026,0,1,0,68.03,0.982,69.72
S03_002,S03,2025,0,0,0,70.58,0.841,70.85
S03_002,S03,2026,0,1,0,73.7,0.962,70.85
S03_003,S03,2025,0,0,0,67.95,0.884,69.45
S03_003,S03,2026,0,1,0,71.07,0.875,69.45
S03_004,S03,2025,0,0,0,68.34,0.779,72.01
S03_004,S03,2026,0,1,0,71.79,0.966,72.01
S03_005,S03,2025,0,0,0,72.67,0.888,74.02
S03_005,S03,2026,0,1,0,71.78,0.953,74.02
S03_006,S03,2025,0,0,0,71.09,0.905,73.21
S03_006,S03,2026,0,1,0,77.03,0.862,73.21
S03_007,S03,2025,0,0,0,70.19,0.92,75.33
S03_007,S03,2026,0,1,0,77.96,0.903,75.33
S03_008,S03,2025,0,0,0,69.49,0.845,70.26
S03_008,S03,2026,0,1,0,69.64,0.892,70.26
S03_009,S03,2025,0,0,0,65.96,0.803,69.04
S03_009,S03,2026,0,1,0,73.98,0.887,69.04
S03_010,S03,2025,0,0,0,73.49,0.872,73.33
S03_010,S03,2026,0,1,0,71.23,0.897,73.33
S03_011,S03,2025,0,0,0,70.1,0.913,74.84
S03_011,S03,2026,0,1,0,74.47,0.921,74.84
S03_012,S03,2025,0,0,0,72.55,0.878,71.13
S03_012,S03,2026,0,1,0,74.99,0.882,71.13
S03_013,S03,2025,0,0,0,72.69,0.884,73.9
S03_013,S03,2026,0,1,0,79.62,0.894,73.9
S03_014,S03,2025,0,0,0,68.88,0.863,72.71
S03_014,S03,2026,0,1,0,73.35,0.881,72.71
S03_015,S03,2025,0,0,0,60.65,0.938,64.74
S03_015,S03,2026,0,1,0,60.0,0.91,64.74
S03_016,S03,2025,0,0,0,74.92,0.909,73.7
S03_016,S03,2026,0,1,0,73.99,0.933,73.7
S03_017,S03,2025,0,0,0,73.89,0.908,74.35
S03_017,S03,2026,0,1,0,77.38,0.933,74.35
S03_018,S03,2025,0,0,0,68.67,0.873,73.81
S03_018,S03,2026,0,1,0,72.18,0.842,73.81
S03_019,S03,2025,0,0,0,68.67,0.837,75.33
S03_019,S03,2026,0,1,0,68.75,0.943,75.33
S03_020,S03,2025,0,0,0,69.8,0.928,69.19
S03_020,S03,2026,0,1,0,70.01,0.9,69.19
S03_021,S03,2025,0,0,0,72.59,0.896,78.38
S03_021,S03,2026,0,1,0,78.18,0.89,78.38
S03_022,S03,2025,0,0,0,66.69,0.82,69.35
S03_022,S03,2026,0,1,0,70.45,0.952,69.35
S03_023,S03,2025,0,0,0,61.77,0.866,64.31
S03_023,S03,2026,0,1,0,66.75,0.909,64.31
S03_024,S03,2025,0,0,0,74.13,0.844,73.71
S03_024,S03,2026,0,1,0,73.89,0.905,73.71
S03_025,S03,2025,0,0,0,70.39,0.87,74.38
S03_025,S03,2026,0,1,0,74.9,0.946,74.38
S03_026,S03,2025,0,0,0,70.94,0.934,74.57
S03_026,S03,2026,0,1,0,73.52,0.913,74.57
S03_027,S03,2025,0,0,0,73.55,0.896,72.11
S03_027,S03,2026,0,1,0,73.52,0.866,72.11
S03_028,S03,2025,0,0,0,63.08,0.911,68.23
S03_028,S03,2026,0,1,0,69.66,0.9,68.23
S04_001,S04,2025,0,0,0,68.55,0.842,69.04
S04_001,S04,2026,0,1,0,70.39,0.913,69.04
S04_002,S04,2025,0,0,0,70.73,0.842,71.94
S04_002,S04,2026,0,1,0,76.75,0.924,71.94
S04_003,S04,2025,0,0,0,74.86,0.915,71.88
S04_003,S04,2026,0,1,0,70.3,0.867,71.88
S04_004,S04,2025,0,0,0,68.9,0.888,72.67
S04_004,S04,2026,0,1,0,73.8,0.923,72.67
S04_005,S04,2025,0,0,0,67.24,0.907,71.18
S04_005,S04,2026,0,1,0,71.92,0.889,71.18
S04_006,S04,2025,0,0,0,58.74,0.844,62.57
S04_006,S04,2026,0,1,0,62.11,0.86,62.57
S04_007,S04,2025,0,0,0,65.46,0.839,67.17
S04_007,S04,2026,0,1,0,74.64,0.897,67.17
S04_008,S04,2025,0,0,0,72.04,0.836,68.94
S04_008,S04,2026,0,1,0,70.9,0.888,68.94
S04_009,S04,2025,0,0,0,73.17,0.851,69.49
S04_009,S04,2026,0,1,0,77.52,0.857,69.49
S04_010,S04,2025,0,0,0,67.6,0.948,69.08
S04_010,S04,2026,0,1,0,77.03,0.957,69.08
S04_011,S04,2025,0,0,0,69.2,0.836,72.96
S04_011,S04,2026,0,1,0,76.12,0.93,72.96
S04_012,S04,2025,0,0,0,73.6,0.858,73.19
S04_012,S04,2026,0,1,0,74.73,0.896,73.19
S04_013,S04,2025,0,0,0,71.97,0.863,73.0
S04_013,S04,2026,0,1,0,73.6,0.99,73.0
S04_014,S04,2025,0,0,0,64.19,0.884,68.16
S04_014,S04,2026,0,1,0,71.29,0.944,68.16
S04_015,S04,2025,0,0,0,63.7,0.851,65.63
S04_015,S04,2026,0,1,0,67.13,0.834,65.63
S04_016,S04,2025,0,0,0,72.17,0.933,66.01
S04_016,S04,2026,0,1,0,70.85,0.958,66.01
S04_017,S04,2025,0,0,0,72.74,0.883,72.21
S04_017,S04,2026,0,1,0,77.09,0.912,72.21
S04_018,S04,2025,0,0,0,65.75,0.907,68.33
S04_018,S04,2026,0,1,0,70.74,0.897,68.33
S04_019,S04,2025,0,0,0,63.69,0.914,66.95
S04_019,S04,2026,0,1,0,67.22,0.897,66.95
S04_020,S04,2025,0,0,0,69.56,0.853,69.1
S04_020,S04,2026,0,1,0,75.12,0.914,69.1
S04_021,S04,2025,0,0,0,72.18,0.927,71.74
S04_021,S04,2026,0,1,0,73.47,0.885,71.74
S04_022,S04,2025,0,0,0,62.9,0.898,66.24
S04_022,S04,2026,0,1,0,65.47,0.945,66.24
S04_023,S04,2025,0,0,0,68.0,0.833,63.89
S04_023,S04,2026,0,1,0,71.65,0.902,63.89
S04_024,S04,2025,0,0,0,66.5,0.895,70.74
S04_024,S04,2026,0,1,0,66.87,0.92,70.74
S04_025,S04,2025,0,0,0,73.46,0.885,76.03
S04_025,S04,2026,0,1,0,77.68,0.94,76.03
S04_026,S04,2025,0,0,0,69.27,0.817,67.16
S04_026,S04,2026,0,1,0,74.64,0.89,67.16
S04_027,S04,2025,0,0,0,66.61,0.897,67.43
S04_027,S04,2026,0,1,0,68.03,0.952,67.43
S04_028,S04,2025,0,0,0,61.7,0.934,69.66
S04_028,S04,2026,0,1,0,62.49,0.883,69.66
S05_001,S05,2025,0,0,0,74.91,0.891,75.17
S05_001,S05,2026,0,1,0,78.35,0.938,75.17
S05_002,S05,2025,0,0,0,73.0,0.899,73.49
S05_002,S05,2026,0,1,0,81.36,0.946,73.49
S05_003,S05,2025,0,0,0,66.42,0.881,72.65
S05_003,S05,2026,0,1,0,67.2,0.869,72.65
S05_004,S05,2025,0,0,0,71.8,0.857,78.69
S05_004,S05,2026,0,1,0,75.09,0.835,78.69
S05_005,S05,2025,0,0,0,70.75,0.889,74.84
S05_005,S05,2026,0,1,0,72.47,0.904,74.84
S05_006,S05,2025,0,0,0,72.94,0.915,80.61
S05_006,S05,2026,0,1,0,74.66,0.891,80.61
S05_007,S05,2025,0,0,0,73.85,0.893,75.78
S05_007,S05,2026,0,1,0,74.8,0.879,75.78
S05_008,S05,2025,0,0,0,72.95,0.875,73.94
S05_008,S05,2026,0,1,0,71.11,0.92,73.94
S05_009,S05,2025,0,0,0,67.69,0.851,72.23
S05_009,S05,2026,0,1,0,69.08,0.917,72.23
S05_010,S05,2025,0,0,0,69.16,0.912,70.55
S05_010,S05,2026,0,1,0,74.47,0.897,70.55
S05_011,S05,2025,0,0,0,67.97,0.901,76.11
S05_011,S05,2026,0,1,0,76.78,0.894,76.11
S05_012,S05,2025,0,0,0,74.97,0.858,75.42
S05_012,S05,2026,0,1,0,78.27,0.902,75.42
S05_013,S05,2025,0,0,0,70.56,0.808,74.74
S05_013,S05,2026,0,1,0,76.07,0.944,74.74
S05_014,S05,2025,0,0,0,74.0,0.834,76.29
S05_014,S05,2026,0,1,0,77.22,0.856,76.29
S05_015,S05,2025,0,0,0,72.37,0.844,69.45
S05_015,S05,2026,0,1,0,74.48,0.88,69.45
S05_016,S05,2025,0,0,0,71.03,0.892,74.5
S05_016,S05,2026,0,1,0,71.9,0.898,74.5
S05_017,S05,2025,0,0,0,68.61,0.871,71.12
S05_017,S05,2026,0,1,0,71.07,0.9,71.12
S05_018,S05,2025,0,0,0,72.19,0.829,75.22
S05_018,S05,2026,0,1,0,72.49,0.91,75.22
S05_019,S05,2025,0,0,0,78.32,0.809,75.68
S05_019,S05,2026,0,1,0,80.67,0.969,75.68
S05_020,S05,2025,0,0,0,73.32,0.848,76.57
S05_020,S05,2026,0,1,0,77.68,0.968,76.57
S05_021,S05,2025,0,0,0,65.17,0.94,68.92
S05_021,S05,2026,0,1,0,68.83,0.986,68.92
S05_022,S05,2025,0,0,0,73.4,0.83,74.21
S05_022,S05,2026,0,1,0,78.55,0.965,74.21
S05_023,S05,2025,0,0,0,67.61,0.933,74.95
S05_023,S05,2026,0,1,0,75.44,0.937,74.95
S05_024,S05,2025,0,0,0,68.59,0.864,73.85
S05_024,S05,2026,0,1,0,73.08,0.908,73.85
S05_025,S05,2025,0,0,0,70.19,0.856,74.49
S05_025,S05,2026,0,1,0,75.14,0.888,74.49
S05_026,S05,2025,0,0,0,72.06,0.836,74.32
S05_026,S05,2026,0,1,0,80.12,0.913,74.32
S05_027,S05,2025,0,0,0,65.42,0.89,71.16
S05_027,S05,2026,0,1,0,75.01,0.89,71.16
S05_028,S05,2025,0,0,0,65.08,0.833,72.6
S05_028,S05,2026,0,1,0,67.5,0.912,72.6
S06_001,S06,2025,0,0,0,68.54,0.803,72.42
S06_001,S06,2026,0,1,0,74.79,0.94,72.42
S06_002,S06,2025,0,0,0,72.73,0.835,73.07
S06_002,S06,2026,0,1,0,76.48,0.91,73.07
S06_003,S06,2025,0,0,0,74.88,0.873,75.76
S06_003,S06,2026,0,1,0,78.22,0.901,75.76
S06_004,S06,2025,0,0,0,70.08,0.865,75.6
S06_004,S06,2026,0,1,0,71.39,0.943,75.6
S06_005,S06,2025,0,0,0,69.85,0.923,73.24
S06_005,S06,2026,0,1,0,75.12,0.912,73.24
S06_006,S06,2025,0,0,0,71.34,0.866,72.43
S06_006,S06,2026,0,1,0,76.22,0.954,72.43
S06_007,S06,2025,0,0,0,70.42,0.918,69.03
S06_007,S06,2026,0,1,0,73.63,0.88,69.03
S06_008,S06,2025,0,0,0,71.45,0.892,70.01
S06_008,S06,2026,0,1,0,70.21,0.886,70.01
S06_009,S06,2025,0,0,0,60.87,0.951,68.34
S06_009,S06,2026,0,1,0,63.78,0.888,68.34
S06_010,S06,2025,0,0,0,70.93,0.878,75.8
S06_010,S06,2026,0,1,0,77.67,0.929,75.8
S06_011,S06,2025,0,0,0,66.02,0.848,70.36
S06_011,S06,2026,0,1,0,66.62,0.873,70.36
S06_012,S06,2025,0,0,0,74.38,0.937,73.42
S06_012,S06,2026,0,1,0,72.07,0.9,73.42
S06_013,S06,2025,0,0,0,74.0,0.867,72.48
S06_013,S06,2026,0,1,0,77.13,0.899,72.48
S06_014,S06,2025,0,0,0,70.59,0.894,74.61
S06_014,S06,2026,0,1,0,77.4,0.917,74.61
S06_015,S06,2025,0,0,0,68.43,0.913,71.56
S06_015,S06,2026,0,1,0,68.98,0.904,71.56
S06_016,S06,2025,0,0,0,69.86,0.862,70.36
S06_016,S06,2026,0,1,0,70.97,0.898,70.36
S06_017,S06,2025,0,0,0,77.78,0.885,76.15
S06_017,S06,2026,0,1,0,77.51,0.856,76.15
S06_018,S06,2025,0,0,0,67.84,0.914,73.99
S06_018,S06,2026,0,1,0,72.85,0.883,73.99
S06_019,S06,2025,0,0,0,73.53,0.945,73.79
S06_019,S06,2026,0,1,0,79.2,0.925,73.79
S06_020,S06,2025,0,0,0,75.57,0.837,72.56
S06_020,S06,2026,0,1,0,77.41,0.856,72.56
S06_021,S06,2025,0,0,0,71.2,0.93,78.61
S06_021,S06,2026,0,1,0,78.32,0.894,78.61
S06_022,S06,2025,0,0,0,74.92,0.849,74.46
S06_022,S06,2026,0,1,0,79.03,0.954,74.46
S06_023,S06,2025,0,0,0,71.2,0.864,74.73
S06_023,S06,2026,0,1,0,73.89,0.925,74.73
S06_024,S06,2025,0,0,0,69.31,0.9,72.14
S06_024,S06,2026,0,1,0,75.23,0.941,72.14
S06_025,S06,2025,0,0,0,73.57,0.86,80.57
S06_025,S06,2026,0,1,0,82.09,0.895,80.57
S06_026,S06,2025,0,0,0,75.5,0.845,76.98
S06_026,S06,2026,0,1,0,71.36,0.82,76.98
S06_027,S06,2025,0,0,0,69.6,0.829,69.64
S06_027,S06,2026,0,1,0,65.87,0.893,69.64
S06_028,S06,2025,0,0,0,64.13,0.854,70.41
S06_028,S06,2026,0,1,0,67.91,0.944,70.41
S07_001,S07,2025,1,0,0,69.07,0.878,74.26
S07_001,S07,2026,1,1,1,77.7,0.915,74.26
S07_002,S07,2025,1,0,0,75.69,0.906,74.29
S07_002,S07,2026,1,1,1,82.42,0.91,74.29
S07_003,S07,2025,1,0,0,70.26,0.859,69.04
S07_003,S07,2026,1,1,1,78.92,0.964,69.04
S07_004,S07,2025,1,0,0,70.35,0.856,70.84
S07_004,S07,2026,1,1,1,79.26,0.937,70.84
S07_005,S07,2025,1,0,0,76.48,0.884,73.79
S07_005,S07,2026,1,1,1,84.13,0.891,73.79
S07_006,S07,2025,1,0,0,82.74,0.823,74.93
S07_006,S07,2026,1,1,1,89.42,0.895,74.93
S07_007,S07,2025,1,0,0,72.53,0.887,71.33
S07_007,S07,2026,1,1,1,80.15,0.828,71.33
S07_008,S07,2025,1,0,0,76.07,0.907,73.13
S07_008,S07,2026,1,1,1,85.7,0.898,73.13
S07_009,S07,2025,1,0,0,72.39,0.859,70.81
S07_009,S07,2026,1,1,1,79.95,0.946,70.81
S07_010,S07,2025,1,0,0,79.29,0.866,73.39
S07_010,S07,2026,1,1,1,79.32,0.978,73.39
S07_011,S07,2025,1,0,0,77.5,0.842,74.3
S07_011,S07,2026,1,1,1,81.27,0.901,74.3
S07_012,S07,2025,1,0,0,78.43,0.892,71.62
S07_012,S07,2026,1,1,1,84.69,0.926,71.62
S07_013,S07,2025,1,0,0,71.6,0.838,70.63
S07_013,S07,2026,1,1,1,77.71,0.891,70.63
S07_014,S07,2025,1,0,0,73.83,0.814,71.76
S07_014,S07,2026,1,1,1,81.37,0.938,71.76
S07_015,S07,2025,1,0,0,76.66,0.938,72.34
S07_015,S07,2026,1,1,1,78.11,0.848,72.34
S07_016,S07,2025,1,0,0,72.06,0.913,69.91
S07_016,S07,2026,1,1,1,78.45,0.962,69.91
S07_017,S07,2025,1,0,0,77.78,0.927,74.77
S07_017,S07,2026,1,1,1,83.46,0.877,74.77
S07_018,S07,2025,1,0,0,75.53,0.878,76.99
S07_018,S07,2026,1,1,1,84.35,0.93,76.99
S07_019,S07,2025,1,0,0,77.14,0.915,72.8
S07_019,S07,2026,1,1,1,80.86,0.952,72.8
S07_020,S07,2025,1,0,0,78.26,0.87,74.89
S07_020,S07,2026,1,1,1,82.81,0.902,74.89
S07_021,S07,2025,1,0,0,82.77,0.92,79.44
S07_021,S07,2026,1,1,1,85.99,0.849,79.44
S07_022,S07,2025,1,0,0,72.96,0.869,75.4
S07_022,S07,2026,1,1,1,84.38,0.96,75.4
S07_023,S07,2025,1,0,0,73.11,0.938,71.75
S07_023,S07,2026,1,1,1,82.92,0.851,71.75
S07_024,S07,2025,1,0,0,70.01,0.856,73.7
S07_024,S07,2026,1,1,1,77.55,0.903,73.7
S07_025,S07,2025,1,0,0,76.11,0.887,73.42
S07_025,S07,2026,1,1,1,82.9,0.961,73.42
S07_026,S07,2025,1,0,0,71.44,0.926,74.39
S07_026,S07,2026,1,1,1,79.88,0.898,74.39
S07_027,S07,2025,1,0,0,68.59,0.903,72.12
S07_027,S07,2026,1,1,1,79.49,0.929,72.12
S07_028,S07,2025,1,0,0,70.93,0.906,67.68
S07_028,S07,2026,1,1,1,75.35,0.955,67.68
S08_001,S08,2025,1,0,0,74.56,0.855,74.6
S08_001,S08,2026,1,1,1,81.06,0.941,74.6
S08_002,S08,2025,1,0,0,72.7,0.895,71.18
S08_002,S08,2026,1,1,1,81.69,0.894,71.18
S08_003,S08,2025,1,0,0,74.44,0.9,72.26
S08_003,S08,2026,1,1,1,82.62,0.872,72.26
S08_004,S08,2025,1,0,0,73.36,0.891,72.68
S08_004,S08,2026,1,1,1,82.93,0.943,72.68
S08_005,S08,2025,1,0,0,66.13,0.858,69.69
S08_005,S08,2026,1,1,1,78.2,0.87,69.69
S08_006,S08,2025,1,0,0,71.63,0.914,72.72
S08_006,S08,2026,1,1,1,80.73,0.855,72.72
S08_007,S08,2025,1,0,0,79.24,0.881,76.81
S08_007,S08,2026,1,1,1,84.26,0.902,76.81
S08_008,S08,2025,1,0,0,65.29,0.825,70.06
S08_008,S08,2026,1,1,1,78.23,0.925,70.06
S08_009,S08,2025,1,0,0,70.88,0.879,71.39
S08_009,S08,2026,1,1,1,77.61,0.914,71.39
S08_010,S08,2025,1,0,0,72.62,0.876,74.87
S08_010,S08,2026,1,1,1,78.69,0.886,74.87
S08_011,S08,2025,1,0,0,74.75,0.847,68.95
S08_011,S08,2026,1,1,1,79.38,0.948,68.95
S08_012,S08,2025,1,0,0,76.6,0.919,75.67
S08_012,S08,2026,1,1,1,81.54,0.915,75.67
S08_013,S08,2025,1,0,0,76.41,0.921,72.25
S08_013,S08,2026,1,1,1,87.05,0.938,72.25
S08_014,S08,2025,1,0,0,70.77,0.929,70.79
S08_014,S08,2026,1,1,1,76.1,0.926,70.79
S08_015,S08,2025,1,0,0,73.98,0.878,72.11
S08_015,S08,2026,1,1,1,79.89,0.99,72.11
S08_016,S08,2025,1,0,0,75.12,0.885,74.39
S08_016,S08,2026,1,1,1,86.68,0.942,74.39
S08_017,S08,2025,1,0,0,79.02,0.923,74.87
S08_017,S08,2026,1,1,1,86.21,0.915,74.87
S08_018,S08,2025,1,0,0,78.16,0.855,77.13
S08_018,S08,2026,1,1,1,85.46,0.955,77.13
S08_019,S08,2025,1,0,0,73.62,0.871,72.64
S08_019,S08,2026,1,1,1,80.49,0.894,72.64
S08_020,S08,2025,1,0,0,74.1,0.936,70.53
S08_020,S08,2026,1,1,1,82.21,0.952,70.53
S08_021,S08,2025,1,0,0,76.59,0.832,69.37
S08_021,S08,2026,1,1,1,81.53,0.902,69.37
S08_022,S08,2025,1,0,0,79.33,0.889,71.99
S08_022,S08,2026,1,1,1,80.57,0.9,71.99
S08_023,S08,2025,1,0,0,70.76,0.902,70.96
S08_023,S08,2026,1,1,1,78.62,0.855,70.96
S08_024,S08,2025,1,0,0,72.63,0.91,66.3
S08_024,S08,2026,1,1,1,79.35,0.901,66.3
S08_025,S08,2025,1,0,0,71.57,0.878,68.33
S08_025,S08,2026,1,1,1,78.89,0.94,68.33
S08_026,S08,2025,1,0,0,74.11,0.892,70.11
S08_026,S08,2026,1,1,1,79.59,0.908,70.11
S08_027,S08,2025,1,0,0,75.17,0.879,74.77
S08_027,S08,2026,1,1,1,82.35,0.932,74.77
S08_028,S08,2025,1,0,0,80.61,0.912,74.77
S08_028,S08,2026,1,1,1,81.44,0.874,74.77
S09_001,S09,2025,1,0,0,69.29,0.923,76.18
S09_001,S09,2026,1,1,1,78.49,0.889,76.18
S09_002,S09,2025,1,0,0,67.07,0.903,71.82
S09_002,S09,2026,1,1,1,80.81,0.865,71.82
S09_003,S09,2025,1,0,0,73.39,0.898,74.29
S09_003,S09,2026,1,1,1,81.69,0.893,74.29
S09_004,S09,2025,1,0,0,68.76,0.909,74.07
S09_004,S09,2026,1,1,1,81.64,0.915,74.07
S09_005,S09,2025,1,0,0,74.88,0.971,78.02
S09_005,S09,2026,1,1,1,84.93,0.959,78.02
S09_006,S09,2025,1,0,0,69.94,0.887,72.88
S09_006,S09,2026,1,1,1,74.17,0.964,72.88
S09_007,S09,2025,1,0,0,80.75,0.884,78.54
S09_007,S09,2026,1,1,1,86.37,0.874,78.54
S09_008,S09,2025,1,0,0,71.63,0.893,69.96
S09_008,S09,2026,1,1,1,79.18,0.942,69.96
S09_009,S09,2025,1,0,0,72.86,0.89,71.31
S09_009,S09,2026,1,1,1,85.34,0.957,71.31
S09_010,S09,2025,1,0,0,74.79,0.859,72.71
S09_010,S09,2026,1,1,1,77.91,0.919,72.71
S09_011,S09,2025,1,0,0,76.04,0.902,74.55
S09_011,S09,2026,1,1,1,83.95,0.952,74.55
S09_012,S09,2025,1,0,0,73.88,0.889,76.96
S09_012,S09,2026,1,1,1,83.97,0.943,76.96
S09_013,S09,2025,1,0,0,75.32,0.969,71.62
S09_013,S09,2026,1,1,1,78.4,0.883,71.62
S09_014,S09,2025,1,0,0,74.29,0.898,77.29
S09_014,S09,2026,1,1,1,78.53,0.871,77.29
S09_015,S09,2025,1,0,0,72.78,0.858,72.38
S09_015,S09,2026,1,1,1,79.95,0.948,72.38
S09_016,S09,2025,1,0,0,73.22,0.925,75.47
S09_016,S09,2026,1,1,1,83.97,0.878,75.47
