market_id,quarter,post,exposure,retention_rate,marketing_spend,competitor_price,digital_maturity,revenue_per_user
M15,1,0,2.28,53.46,45.77,18.22,-1.418,36.47
M15,2,0,2.28,52.67,57.75,18.74,-1.418,32.01
M15,3,0,2.28,52.94,57.0,19.1,-1.418,36.03
M15,4,0,2.28,54.62,50.25,17.87,-1.418,33.65
M15,5,1,2.28,57.45,47.74,17.24,-1.418,39.24
M15,6,1,2.28,56.96,58.08,17.69,-1.418,39.74
M15,7,1,2.28,56.84,64.1,17.09,-1.418,39.54
M15,8,1,2.28,56.99,51.47,20.04,-1.418,41.59
M16,1,0,1.62,54.72,47.75,16.99,1.335,33.36
M16,2,0,1.62,53.03,46.71,19.46,1.335,34.42
M16,3,0,1.62,56.58,43.85,17.76,1.335,36.15
M16,4,0,1.62,53.45,50.84,19.23,1.335,30.66
M16,5,1,1.62,57.83,55.45,17.76,1.335,41.3
M16,6,1,1.62,60.78,48.98,18.69,1.335,36.75
M16,7,1,1.62,59.81,55.84,19.04,1.335,39.4
M16,8,1,1.62,59.69,59.76,16.2,1.335,38.01
M17,1,0,8.05,60.14,63.85,18.85,0.647,36.81
M17,2,0,8.05,61.84,63.68,18.11,0.647,43.38
M17,3,0,8.05,61.54,70.25,19.6,0.647,40.14
M17,4,0,8.05,61.4,69.46,18.04,0.647,41.08
M17,5,1,8.05,68.44,67.69,19.57,0.647,52.47
M17,6,1,8.05,71.03,63.59,18.77,0.647,52.16
M17,7,1,8.05,70.55,74.6,18.45,0.647,52.01
M17,8,1,8.05,72.58,76.61,18.15,0.647,54.09
M18,1,0,1.74,58.82,50.06,17.29,2.019,33.38
M18,2,0,1.74,61.08,42.84,18.32,2.019,34.62
M18,3,0,1.74,61.24,47.53,17.03,2.019,31.09
M18,4,0,1.74,60.13,46.51,18.01,2.019,36.06
M18,5,1,1.74,66.42,57.35,17.63,2.019,38.28
M18,6,1,1.74,66.49,48.02,16.48,2.019,35.19
M18,7,1,1.74,65.07,61.66,15.85,2.019,41.28
M18,8,1,1.74,66.46,63.29,18.03,2.019,40.67
M19,1,0,9.79,55.67,64.5,18.37,0.934,42.85
M19,2,0,9.79,57.34,64.54,18.03,0.934,42.44
M19,3,0,9.79,57.63,70.7,16.12,0.934,38.65
M19,4,0,9.79,57.88,65.31,18.13,0.934,40.77
M19,5,1,9.79,70.15,78.26,17.19,0.934,57.66
M19,6,1,9.79,70.04,71.12,18.07,0.934,57.56
M19,7,1,9.79,70.46,79.85,17.78,0.934,58.08
M19,8,1,9.79,69.8,84.01,18.96,0.934,59.42
M20,1,0,2.17,55.95,51.31,18.77,-1.953,36.82
M20,2,0,2.17,55.03,51.15,18.85,-1.953,37.94
M20,3,0,2.17,55.38,48.43,18.69,-1.953,37.56
M20,4,0,2.17,58.49,57.75,17.12,-1.953,38.54
M20,5,1,2.17,57.52,59.11,19.01,-1.953,37.7
M20,6,1,2.17,60.26,64.14,16.52,-1.953,37.09
M20,7,1,2.17,60.02,58.77,17.39,-1.953,41.03
M20,8,1,2.17,62.39,69.4,16.94,-1.953,43.72
M21,1,0,3.24,54.87,49.76,19.22,1.138,34.52
M21,2,0,3.24,54.18,45.23,19.08,1.138,35.29
M21,3,0,3.24,55.0,56.42,17.31,1.138,32.04
M21,4,0,3.24,56.24,51.66,18.8,1.138,36.3
M21,5,1,3.24,61.05,56.69,18.54,1.138,38.1
M21,6,1,3.24,60.58,54.57,18.43,1.138,41.24
M21,7,1,3.24,62.65,62.73,18.16,1.138,43.9
M21,8,1,3.24,60.87,61.37,19.87,1.138,42.09
M22,1,0,0.19,54.87,50.49,18.86,1.72,33.69
M22,2,0,0.19,55.79,50.73,16.79,1.72,31.7
M22,3,0,0.19,55.11,52.0,18.62,1.72,36.28
M22,4,0,0.19,54.1,47.58,19.23,1.72,32.56
M22,5,1,0.19,54.92,52.43,18.96,1.72,34.36
M22,6,1,0.19,55.15,55.46,18.37,1.72,35.7
M22,7,1,0.19,56.92,58.01,17.31,1.72,35.32
M22,8,1,0.19,58.08,50.73,17.89,1.72,38.33
M23,1,0,7.12,55.9,57.8,18.31,0.513,40.93
M23,2,0,7.12,56.99,64.78,18.85,0.513,39.02
M23,3,0,7.12,58.69,64.24,16.57,0.513,37.14
M23,4,0,7.12,60.16,73.99,16.07,0.513,37.97
M23,5,1,7.12,66.02,62.57,16.89,0.513,47.15
M23,6,1,7.12,66.14,71.12,19.28,0.513,51.55
M23,7,1,7.12,66.8,77.99,16.77,0.513,54.03
M23,8,1,7.12,68.97,76.68,14.9,0.513,52.86
M24,1,0,7.48,59.5,64.89,17.15,0.412,42.54
M24,2,0,7.48,61.07,69.14,17.6,0.412,43.84
M24,3,0,7.48,59.05,59.37,18.36,0.412,42.35
M24,4,0,7.48,59.88,62.92,18.38,0.412,39.41
M24,5,1,7.48,70.88,66.17,16.55,0.412,51.63
M24,6,1,7.48,67.53,64.45,18.75,0.412,53.18
M24,7,1,7.48,70.18,83.05,18.13,0.412,54.67
M24,8,1,7.48,70.05,70.47,17.99,0.412,52.81
M25,1,0,7.28,61.33,63.62,14.9,0.039,37.83
M25,2,0,7.28,59.64,68.4,17.68,0.039,41.55
M25,3,0,7.28,58.37,62.77,17.89,0.039,41.38
M25,4,0,7.28,59.5,56.29,17.08,0.039,37.12
M25,5,1,7.28,66.27,70.83,18.44,0.039,50.27
M25,6,1,7.28,66.3,71.11,19.52,0.039,51.67
M25,7,1,7.28,66.99,66.02,19.51,0.039,52.83
M25,8,1,7.28,66.72,73.37,16.49,0.039,52.47
M26,1,0,3.84,58.12,48.68,17.33,0.185,33.68
M26,2,0,3.84,60.17,51.27,16.8,0.185,36.44
M26,3,0,3.84,60.6,58.8,17.52,0.185,34.12
M26,4,0,3.84,61.13,65.81,18.94,0.185,35.16
M26,5,1,3.84,65.05,62.91,17.35,0.185,44.58
M26,6,1,3.84,64.64,68.74,17.62,0.185,42.95
M26,7,1,3.84,63.91,60.17,17.87,0.185,43.52
M26,8,1,3.84,64.61,66.8,17.07,0.185,45.07
M27,1,0,4.01,60.1,45.09,17.59,1.086,34.02
M27,2,0,4.01,58.47,48.18,18.79,1.086,35.03
M27,3,0,4.01,60.15,51.88,16.65,1.086,36.41
M27,4,0,4.01,60.27,57.03,16.54,1.086,38.37
M27,5,1,4.01,69.48,56.48,15.85,1.086,44.01
M27,6,1,4.01,68.84,51.6,18.76,1.086,45.77
M27,7,1,4.01,67.66,59.73,15.66,1.086,48.69
M27,8,1,4.01,66.6,60.54,17.81,1.086,45.51
M28,1,0,5.3,56.17,55.86,18.56,-1.257,40.63
M28,2,0,5.3,55.73,68.26,16.84,-1.257,41.33
M28,3,0,5.3,54.36,51.7,18.67,-1.257,33.53
M28,4,0,5.3,57.34,58.48,17.59,-1.257,35.7
M28,5,1,5.3,58.47,72.8,19.14,-1.257,50.23
M28,6,1,5.3,60.94,69.08,18.87,-1.257,46.23
M28,7,1,5.3,59.91,73.37,18.18,-1.257,45.72
M28,8,1,5.3,61.65,75.25,17.5,-1.257,48.01
M29,1,0,5.96,56.88,56.63,19.09,-0.112,39.75
M29,2,0,5.96,59.81,55.01,16.6,-0.112,39.76
M29,3,0,5.96,59.92,66.52,17.13,-0.112,34.68
M29,4,0,5.96,56.84,60.78,19.9,-0.112,39.54
M29,5,1,5.96,64.92,61.9,16.86,-0.112,49.89
M29,6,1,5.96,63.79,63.57,18.52,-0.112,45.78
M29,7,1,5.96,66.0,74.22,17.06,-0.112,48.72
M29,8,1,5.96,65.2,63.14,20.77,-0.112,46.32
M30,1,0,1.15,50.64,48.62,19.34,-1.157,34.46
M30,2,0,1.15,53.12,42.05,17.32,-1.157,34.64
M30,3,0,1.15,53.26,53.96,18.59,-1.157,34.07
M30,4,0,1.15,53.32,49.03,16.31,-1.157,33.8
M30,5,1,1.15,54.13,55.98,17.5,-1.157,36.53
M30,6,1,1.15,56.6,53.59,17.83,-1.157,39.23
M30,7,1,1.15,56.56,58.72,17.89,-1.157,37.96
M30,8,1,1.15,56.02,63.06,17.91,-1.157,39.46
M31,1,0,4.2,55.07,56.84,17.51,1.061,34.38
M31,2,0,4.2,55.38,51.3,17.7,1.061,39.47
M31,3,0,4.2,56.05,60.56,16.35,1.061,38.11
M31,4,0,4.2,56.37,50.94,17.33,1.061,34.86
M31,5,1,4.2,62.52,58.31,18.24,1.061,42.74
M31,6,1,4.2,60.27,69.26,17.12,1.061,44.16
M31,7,1,4.2,59.84,61.04,18.36,1.061,46.65
M31,8,1,4.2,63.08,71.16,17.31,1.061,45.56
M32,1,0,1.85,58.15,50.51,17.86,1.55,33.3
M32,2,0,1.85,58.32,50.59,18.6,1.55,29.19
M32,3,0,1.85,58.5,51.28,18.28,1.55,31.87
M32,4,0,1.85,56.93,55.81,17.75,1.55,34.19
M32,5,1,1.85,59.1,49.05,18.79,1.55,36.36
M32,6,1,1.85,60.57,63.16,16.41,1.55,41.0
M32,7,1,1.85,59.0,60.45,17.19,1.55,44.13
M32,8,1,1.85,60.63,59.22,19.77,1.55,36.47
