unit_id,month,cohort,treat_month,ever_treated,currently_treated,relative_time,outcome
U006,5,early,9.0,1,0,-4.0,74.03
U006,6,early,9.0,1,0,-3.0,73.21
U006,7,early,9.0,1,0,-2.0,76.32
U006,8,early,9.0,1,0,-1.0,76.27
U006,9,early,9.0,1,1,0.0,77.67
U006,10,early,9.0,1,1,1.0,79.64
U006,11,early,9.0,1,1,2.0,76.6
U006,12,early,9.0,1,1,3.0,79.37
U006,13,early,9.0,1,1,4.0,79.2
U006,14,early,9.0,1,1,5.0,81.19
U006,15,early,9.0,1,1,6.0,82.88
U006,16,early,9.0,1,1,7.0,83.82
U006,17,early,9.0,1,1,8.0,82.14
U006,18,early,9.0,1,1,9.0,84.08
U006,19,early,9.0,1,1,10.0,82.68
U006,20,early,9.0,1,1,11.0,83.89
U006,21,early,9.0,1,1,12.0,86.24
U006,22,early,9.0,1,1,13.0,84.86
U006,23,early,9.0,1,1,14.0,84.98
U006,24,early,9.0,1,1,15.0,84.5
U007,1,early,9.0,1,0,-8.0,68.89
U007,2,early,9.0,1,0,-7.0,70.87
U007,3,early,9.0,1,0,-6.0,70.94
U007,4,early,9.0,1,0,-5.0,71.18
U007,5,early,9.0,1,0,-4.0,73.35
U007,6,early,9.0,1,0,-3.0,72.31
U007,7,early,9.0,1,0,-2.0,71.32
U007,8,early,9.0,1,0,-1.0,73.15
U007,9,early,9.0,1,1,0.0,73.58
U007,10,early,9.0,1,1,1.0,74.68
U007,11,early,9.0,1,1,2.0,77.26
U007,12,early,9.0,1,1,3.0,79.63
U007,13,early,9.0,1,1,4.0,77.46
U007,14,early,9.0,1,1,5.0,79.44
U007,15,early,9.0,1,1,6.0,80.58
U007,16,early,9.0,1,1,7.0,81.51
U007,17,early,9.0,1,1,8.0,81.26
U007,18,early,9.0,1,1,9.0,82.28
U007,19,early,9.0,1,1,10.0,81.16
U007,20,early,9.0,1,1,11.0,78.32
U007,21,early,9.0,1,1,12.0,82.45
U007,22,early,9.0,1,1,13.0,83.18
U007,23,early,9.0,1,1,14.0,83.59
U007,24,early,9.0,1,1,15.0,86.4
U008,1,early,9.0,1,0,-8.0,72.98
U008,2,early,9.0,1,0,-7.0,72.3
U008,3,early,9.0,1,0,-6.0,73.27
U008,4,early,9.0,1,0,-5.0,75.93
U008,5,early,9.0,1,0,-4.0,74.47
U008,6,early,9.0,1,0,-3.0,73.23
U008,7,early,9.0,1,0,-2.0,73.46
U008,8,early,9.0,1,0,-1.0,76.1
U008,9,early,9.0,1,1,0.0,76.51
U008,10,early,9.0,1,1,1.0,76.01
U008,11,early,9.0,1,1,2.0,76.46
U008,12,early,9.0,1,1,3.0,77.97
U008,13,early,9.0,1,1,4.0,79.91
U008,14,early,9.0,1,1,5.0,80.84
U008,15,early,9.0,1,1,6.0,80.07
U008,16,early,9.0,1,1,7.0,84.51
U008,17,early,9.0,1,1,8.0,83.22
U008,18,early,9.0,1,1,9.0,85.05
U008,19,early,9.0,1,1,10.0,83.21
U008,20,early,9.0,1,1,11.0,86.76
U008,21,early,9.0,1,1,12.0,85.33
U008,22,early,9.0,1,1,13.0,86.27
U008,23,early,9.0,1,1,14.0,85.76
U008,24,early,9.0,1,1,15.0,88.12
U009,1,early,9.0,1,0,-8.0,67.48
U009,2,early,9.0,1,0,-7.0,66.71
U009,3,early,9.0,1,0,-6.0,66.5
U009,4,early,9.0,1,0,-5.0,68.57
U009,5,early,9.0,1,0,-4.0,67.44
U009,6,early,9.0,1,0,-3.0,69.29
U009,7,early,9.0,1,0,-2.0,72.01
U009,8,early,9.0,1,0,-1.0,69.69
U009,9,early,9.0,1,1,0.0,72.49
U009,10,early,9.0,1,1,1.0,70.78
U009,11,early,9.0,1,1,2.0,75.82
U009,12,early,9.0,1,1,3.0,74.89
U009,13,early,9.0,1,1,4.0,73.9
U009,14,early,9.0,1,1,5.0,76.69
U009,15,early,9.0,1,1,6.0,79.64
U009,16,early,9.0,1,1,7.0,77.35
U009,17,early,9.0,1,1,8.0,78.94
U009,18,early,9.0,1,1,9.0,77.0
U009,19,early,9.0,1,1,10.0,79.09
U009,20,early,9.0,1,1,11.0,77.31
U009,21,early,9.0,1,1,12.0,79.7
U009,22,early,9.0,1,1,13.0,79.48
U009,23,early,9.0,1,1,14.0,81.82
U009,24,early,9.0,1,1,15.0,79.67
U010,1,early,9.0,1,0,-8.0,66.97
U010,2,early,9.0,1,0,-7.0,69.39
U010,3,early,9.0,1,0,-6.0,65.75
U010,4,early,9.0,1,0,-5.0,68.21
U010,5,early,9.0,1,0,-4.0,70.17
U010,6,early,9.0,1,0,-3.0,70.33
U010,7,early,9.0,1,0,-2.0,69.51
U010,8,early,9.0,1,0,-1.0,69.14
U010,9,early,9.0,1,1,0.0,70.03
U010,10,early,9.0,1,1,1.0,72.52
U010,11,early,9.0,1,1,2.0,74.69
U010,12,early,9.0,1,1,3.0,75.98
U010,13,early,9.0,1,1,4.0,75.46
U010,14,early,9.0,1,1,5.0,76.91
U010,15,early,9.0,1,1,6.0,77.22
U010,16,early,9.0,1,1,7.0,77.7
U010,17,early,9.0,1,1,8.0,78.34
U010,18,early,9.0,1,1,9.0,78.37
U010,19,early,9.0,1,1,10.0,79.59
U010,20,early,9.0,1,1,11.0,79.53
U010,21,early,9.0,1,1,12.0,80.2
U010,22,early,9.0,1,1,13.0,80.58
U010,23,early,9.0,1,1,14.0,81.02
U010,24,early,9.0,1,1,15.0,82.42
U011,1,early,9.0,1,0,-8.0,72.39
U011,2,early,9.0,1,0,-7.0,72.43
U011,3,early,9.0,1,0,-6.0,71.62
U011,4,early,9.0,1,0,-5.0,73.87
U011,5,early,9.0,1,0,-4.0,74.0
U011,6,early,9.0,1,0,-3.0,74.99
U011,7,early,9.0,1,0,-2.0,75.36
U011,8,early,9.0,1,0,-1.0,72.87
U011,9,early,9.0,1,1,0.0,75.9
U011,10,early,9.0,1,1,1.0,75.4
U011,11,early,9.0,1,1,2.0,78.92
U011,12,early,9.0,1,1,3.0,79.7
U011,13,early,9.0,1,1,4.0,80.71
U011,14,early,9.0,1,1,5.0,81.72
U011,15,early,9.0,1,1,6.0,83.48
U011,16,early,9.0,1,1,7.0,82.13
U011,17,early,9.0,1,1,8.0,83.25
U011,18,early,9.0,1,1,9.0,82.91
U011,19,early,9.0,1,1,10.0,85.55
U011,20,early,9.0,1,1,11.0,84.24
U011,21,early,9.0,1,1,12.0,86.14
U011,22,early,9.0,1,1,13.0,84.87
U011,23,early,9.0,1,1,14.0,85.0
U011,24,early,9.0,1,1,15.0,86.27
U012,1,early,9.0,1,0,-8.0,67.69
U012,2,early,9.0,1,0,-7.0,69.06
U012,3,early,9.0,1,0,-6.0,69.84
U012,4,early,9.0,1,0,-5.0,69.94
U012,5,early,9.0,1,0,-4.0,69.42
U012,6,early,9.0,1,0,-3.0,69.08
U012,7,early,9.0,1,0,-2.0,72.51
U012,8,early,9.0,1,0,-1.0,73.04
U012,9,early,9.0,1,1,0.0,72.21
U012,10,early,9.0,1,1,1.0,75.15
U012,11,early,9.0,1,1,2.0,73.58
U012,12,early,9.0,1,1,3.0,74.58
U012,13,early,9.0,1,1,4.0,76.17
U012,14,early,9.0,1,1,5.0,76.73
U012,15,early,9.0,1,1,6.0,80.46
U012,16,early,9.0,1,1,7.0,79.81
U012,17,early,9.0,1,1,8.0,80.45
U012,18,early,9.0,1,1,9.0,79.28
U012,19,early,9.0,1,1,10.0,78.66
U012,20,early,9.0,1,1,11.0,80.63
U012,21,early,9.0,1,1,12.0,78.78
U012,22,early,9.0,1,1,13.0,83.44
U012,23,early,9.0,1,1,14.0,82.82
U012,24,early,9.0,1,1,15.0,80.73
U013,1,middle,13.0,1,0,-12.0,67.29
U013,2,middle,13.0,1,0,-11.0,68.0
U013,3,middle,13.0,1,0,-10.0,70.55
U013,4,middle,13.0,1,0,-9.0,67.65
U013,5,middle,13.0,1,0,-8.0,69.56
U013,6,middle,13.0,1,0,-7.0,68.86
U013,7,middle,13.0,1,0,-6.0,70.41
U013,8,middle,13.0,1,0,-5.0,70.99
U013,9,middle,13.0,1,0,-4.0,69.37
U013,10,middle,13.0,1,0,-3.0,71.25
U013,11,middle,13.0,1,0,-2.0,70.39
U013,12,middle,13.0,1,0,-1.0,71.69
U013,13,middle,13.0,1,1,0.0,72.95
U013,14,middle,13.0,1,1,1.0,73.3
U013,15,middle,13.0,1,1,2.0,73.9
U013,16,middle,13.0,1,1,3.0,77.19
U013,17,middle,13.0,1,1,4.0,76.13
U013,18,middle,13.0,1,1,5.0,78.15
U013,19,middle,13.0,1,1,6.0,78.58
U013,20,middle,13.0,1,1,7.0,79.34
U013,21,middle,13.0,1,1,8.0,81.52
U013,22,middle,13.0,1,1,9.0,78.27
U013,23,middle,13.0,1,1,10.0,78.35
U013,24,middle,13.0,1,1,11.0,82.13
U014,1,middle,13.0,1,0,-12.0,68.66
U014,2,middle,13.0,1,0,-11.0,71.23
U014,3,middle,13.0,1,0,-10.0,71.82
U014,4,middle,13.0,1,0,-9.0,71.08
U014,5,middle,13.0,1,0,-8.0,69.95
U014,6,middle,13.0,1,0,-7.0,70.34
U014,7,middle,13.0,1,0,-6.0,72.58
U014,8,middle,13.0,1,0,-5.0,71.65
U014,9,middle,13.0,1,0,-4.0,70.17
U014,10,middle,13.0,1,0,-3.0,72.27
U014,11,middle,13.0,1,0,-2.0,73.5
U014,12,middle,13.0,1,0,-1.0,72.08
U014,13,middle,13.0,1,1,0.0,71.15
U014,14,middle,13.0,1,1,1.0,76.17
U014,15,middle,13.0,1,1,2.0,76.9
U014,16,middle,13.0,1,1,3.0,76.98
U014,17,middle,13.0,1,1,4.0,74.99
U014,18,middle,13.0,1,1,5.0,77.42
U014,19,middle,13.0,1,1,6.0,82.96
U014,20,middle,13.0,1,1,7.0,83.2
U014,21,middle,13.0,1,1,8.0,79.78
U014,22,middle,13.0,1,1,9.0,81.07
U014,23,middle,13.0,1,1,10.0,82.67
U014,24,middle,13.0,1,1,11.0,82.39
U015,1,middle,13.0,1,0,-12.0,69.72
U015,2,middle,13.0,1,0,-11.0,70.22
U015,3,middle,13.0,1,0,-10.0,70.53
U015,4,middle,13.0,1,0,-9.0,69.0
U015,5,middle,13.0,1,0,-8.0,70.61
U015,6,middle,13.0,1,0,-7.0,70.51
U015,7,middle,13.0,1,0,-6.0,70.28
U015,8,middle,13.0,1,0,-5.0,70.45
U015,9,middle,13.0,1,0,-4.0,72.31
U015,10,middle,13.0,1,0,-3.0,71.07
U015,11,middle,13.0,1,0,-2.0,71.97
U015,12,middle,13.0,1,0,-1.0,71.78
U015,13,middle,13.0,1,1,0.0,71.38
U015,14,middle,13.0,1,1,1.0,71.74
U015,15,middle,13.0,1,1,2.0,75.1
U015,16,middle,13.0,1,1,3.0,74.58
U015,17,middle,13.0,1,1,4.0,78.7
U015,18,middle,13.0,1,1,5.0,78.78
U015,19,middle,13.0,1,1,6.0,79.12
U015,20,middle,13.0,1,1,7.0,80.0
U015,21,middle,13.0,1,1,8.0,82.64
U015,22,middle,13.0,1,1,9.0,80.72
U015,23,middle,13.0,1,1,10.0,80.16
U015,24,middle,13.0,1,1,11.0,81.04
U016,1,middle,13.0,1,0,-12.0,71.9
U016,2,middle,13.0,1,0,-11.0,72.03
U016,3,middle,13.0,1,0,-10.0,70.95
U016,4,middle,13.0,1,0,-9.0,70.91
U016,5,middle,13.0,1,0,-8.0,70.69
U016,6,middle,13.0,1,0,-7.0,74.0
U016,7,middle,13.0,1,0,-6.0,70.45
U016,8,middle,13.0,1,0,-5.0,74.11
U016,9,middle,13.0,1,0,-4.0,72.63
U016,10,middle,13.0,1,0,-3.0,73.98
U016,11,middle,13.0,1,0,-2.0,73.66
U016,12,middle,13.0,1,0,-1.0,73.98
U016,13,middle,13.0,1,1,0.0,76.07
U016,14,middle,13.0,1,1,1.0,72.95
U016,15,middle,13.0,1,1,2.0,78.34
U016,16,middle,13.0,1,1,3.0,78.67
U016,17,middle,13.0,1,1,4.0,79.11
U016,18,middle,13.0,1,1,5.0,79.39
U016,19,middle,13.0,1,1,6.0,81.71
U016,20,middle,13.0,1,1,7.0,80.46
U016,21,middle,13.0,1,1,8.0,83.64
U016,22,middle,13.0,1,1,9.0,81.25
U016,23,middle,13.0,1,1,10.0,83.23
U016,24,middle,13.0,1,1,11.0,83.93
U017,1,middle,13.0,1,0,-12.0,71.19
U017,2,middle,13.0,1,0,-11.0,71.81
U017,3,middle,13.0,1,0,-10.0,70.14
U017,4,middle,13.0,1,0,-9.0,73.59
U017,5,middle,13.0,1,0,-8.0,71.85
U017,6,middle,13.0,1,0,-7.0,72.89
U017,7,middle,13.0,1,0,-6.0,70.51
U017,8,middle,13.0,1,0,-5.0,73.55
U017,9,middle,13.0,1,0,-4.0,74.14
U017,10,middle,13.0,1,0,-3.0,75.14
U017,11,middle,13.0,1,0,-2.0,76.76
U017,12,middle,13.0,1,0,-1.0,74.22
U017,13,middle,13.0,1,1,0.0,76.92
U017,14,middle,13.0,1,1,1.0,80.11
U017,15,middle,13.0,1,1,2.0,78.46
U017,16,middle,13.0,1,1,3.0,77.7
U017,17,middle,13.0,1,1,4.0,80.51
U017,18,middle,13.0,1,1,5.0,79.95
U017,19,middle,13.0,1,1,6.0,81.34
U017,20,middle,13.0,1,1,7.0,83.53
U017,21,middle,13.0,1,1,8.0,84.43
U017,22,middle,13.0,1,1,9.0,84.26
U017,23,middle,13.0,1,1,10.0,84.73
U017,24,middle,13.0,1,1,11.0,83.49
U018,1,middle,13.0,1,0,-12.0,71.82
U018,2,middle,13.0,1,0,-11.0,69.77
U018,3,middle,13.0,1,0,-10.0,70.01
U018,4,middle,13.0,1,0,-9.0,71.44
U018,5,middle,13.0,1,0,-8.0,73.28
U018,6,middle,13.0,1,0,-7.0,73.11
U018,7,middle,13.0,1,0,-6.0,74.92
U018,8,middle,13.0,1,0,-5.0,74.68
U018,9,middle,13.0,1,0,-4.0,74.66
U018,10,middle,13.0,1,0,-3.0,73.94
U018,11,middle,13.0,1,0,-2.0,74.63
U018,12,middle,13.0,1,0,-1.0,73.89
U018,13,middle,13.0,1,1,0.0,75.71
U018,14,middle,13.0,1,1,1.0,77.55
U018,15,middle,13.0,1,1,2.0,80.27
U018,16,middle,13.0,1,1,3.0,79.2
U018,17,middle,13.0,1,1,4.0,78.75
U018,18,middle,13.0,1,1,5.0,81.47
U018,19,middle,13.0,1,1,6.0,82.84
U018,20,middle,13.0,1,1,7.0,81.07
U018,21,middle,13.0,1,1,8.0,82.11
U018,22,middle,13.0,1,1,9.0,84.0
U018,23,middle,13.0,1,1,10.0,83.95
U018,24,middle,13.0,1,1,11.0,85.6
U019,1,middle,13.0,1,0,-12.0,71.06
U019,2,middle,13.0,1,0,-11.0,70.04
U019,3,middle,13.0,1,0,-10.0,69.85
U019,4,middle,13.0,1,0,-9.0,71.03
U019,5,middle,13.0,1,0,-8.0,71.4
U019,6,middle,13.0,1,0,-7.0,71.51
U019,7,middle,13.0,1,0,-6.0,76.03
U019,8,middle,13.0,1,0,-5.0,72.89
U019,9,middle,13.0,1,0,-4.0,73.96
U019,10,middle,13.0,1,0,-3.0,73.28
U019,11,middle,13.0,1,0,-2.0,73.54
U019,12,middle,13.0,1,0,-1.0,74.55
U019,13,middle,13.0,1,1,0.0,75.72
U019,14,middle,13.0,1,1,1.0,74.51
U019,15,middle,13.0,1,1,2.0,77.61
U019,16,middle,13.0,1,1,3.0,78.95
U019,17,middle,13.0,1,1,4.0,79.35
U019,18,middle,13.0,1,1,5.0,77.95
U019,19,middle,13.0,1,1,6.0,81.63
U019,20,middle,13.0,1,1,7.0,84.49
U019,21,middle,13.0,1,1,8.0,83.28
U019,22,middle,13.0,1,1,9.0,81.89
U019,23,middle,13.0,1,1,10.0,85.22
U019,24,middle,13.0,1,1,11.0,83.64
U020,1,middle,13.0,1,0,-12.0,67.52
U020,2,middle,13.0,1,0,-11.0,71.5
U020,3,middle,13.0,1,0,-10.0,72.81
U020,4,middle,13.0,1,0,-9.0,70.74
U020,5,middle,13.0,1,0,-8.0,69.93
U020,6,middle,13.0,1,0,-7.0,72.68
U020,7,middle,13.0,1,0,-6.0,71.98
U020,8,middle,13.0,1,0,-5.0,73.92
U020,9,middle,13.0,1,0,-4.0,71.44
U020,10,middle,13.0,1,0,-3.0,71.87
U020,11,middle,13.0,1,0,-2.0,75.46
U020,12,middle,13.0,1,0,-1.0,73.88
U020,13,middle,13.0,1,1,0.0,75.68
U020,14,middle,13.0,1,1,1.0,74.25
U020,15,middle,13.0,1,1,2.0,78.53
U020,16,middle,13.0,1,1,3.0,77.08
U020,17,middle,13.0,1,1,4.0,79.16
U020,18,middle,13.0,1,1,5.0,79.44
U020,19,middle,13.0,1,1,6.0,80.5
U020,20,middle,13.0,1,1,7.0,83.3
U020,21,middle,13.0,1,1,8.0,84.31
U020,22,middle,13.0,1,1,9.0,82.54
U020,23,middle,13.0,1,1,10.0,82.73
U020,24,middle,13.0,1,1,11.0,85.11
U021,1,middle,13.0,1,0,-12.0,64.44
U021,2,middle,13.0,1,0,-11.0,64.08
U021,3,middle,13.0,1,0,-10.0,63.89
U021,4,middle,13.0,1,0,-9.0,65.88
U021,5,middle,13.0,1,0,-8.0,64.2
U021,6,middle,13.0,1,0,-7.0,66.9
U021,7,middle,13.0,1,0,-6.0,67.53
U021,8,middle,13.0,1,0,-5.0,65.22
U021,9,middle,13.0,1,0,-4.0,68.1
U021,10,middle,13.0,1,0,-3.0,66.39
U021,11,middle,13.0,1,0,-2.0,68.15
U021,12,middle,13.0,1,0,-1.0,68.83
U021,13,middle,13.0,1,1,0.0,70.39
U021,14,middle,13.0,1,1,1.0,71.73
U021,15,middle,13.0,1,1,2.0,72.63
U021,16,middle,13.0,1,1,3.0,71.31
U021,17,middle,13.0,1,1,4.0,73.04
U021,18,middle,13.0,1,1,5.0,73.6
U021,19,middle,13.0,1,1,6.0,75.11
U021,20,middle,13.0,1,1,7.0,78.97
U021,21,middle,13.0,1,1,8.0,76.6
U021,22,middle,13.0,1,1,9.0,77.45
U021,23,middle,13.0,1,1,10.0,77.46
U021,24,middle,13.0,1,1,11.0,79.12
U022,1,middle,13.0,1,0,-12.0,64.93
U022,2,middle,13.0,1,0,-11.0,62.85
U022,3,middle,13.0,1,0,-10.0,66.5
U022,4,middle,13.0,1,0,-9.0,66.58
U022,5,middle,13.0,1,0,-8.0,67.66
U022,6,middle,13.0,1,0,-7.0,69.5
U022,7,middle,13.0,1,0,-6.0,70.39
U022,8,middle,13.0,1,0,-5.0,70.01
U022,9,middle,13.0,1,0,-4.0,71.54
U022,10,middle,13.0,1,0,-3.0,70.89
U022,11,middle,13.0,1,0,-2.0,69.32
U022,12,middle,13.0,1,0,-1.0,71.85
U022,13,middle,13.0,1,1,0.0,71.77
U022,14,middle,13.0,1,1,1.0,71.55
U022,15,middle,13.0,1,1,2.0,75.43
U022,16,middle,13.0,1,1,3.0,75.29
U022,17,middle,13.0,1,1,4.0,76.4
U022,18,middle,13.0,1,1,5.0,76.86
U022,19,middle,13.0,1,1,6.0,75.03
U022,20,middle,13.0,1,1,7.0,79.63
U022,21,middle,13.0,1,1,8.0,79.18
U022,22,middle,13.0,1,1,9.0,80.2
U022,23,middle,13.0,1,1,10.0,79.92
U022,24,middle,13.0,1,1,11.0,79.97
U023,1,middle,13.0,1,0,-12.0,66.85
U023,2,middle,13.0,1,0,-11.0,68.29
U023,3,middle,13.0,1,0,-10.0,69.7
U023,4,middle,13.0,1,0,-9.0,68.64
U023,5,middle,13.0,1,0,-8.0,68.0
U023,6,middle,13.0,1,0,-7.0,69.57
U023,7,middle,13.0,1,0,-6.0,69.51
U023,8,middle,13.0,1,0,-5.0,70.54
U023,9,middle,13.0,1,0,-4.0,68.46
U023,10,middle,13.0,1,0,-3.0,71.68
U023,11,middle,13.0,1,0,-2.0,72.12
U023,12,middle,13.0,1,0,-1.0,71.76
U023,13,middle,13.0,1,1,0.0,72.48
U023,14,middle,13.0,1,1,1.0,72.93
U023,15,middle,13.0,1,1,2.0,74.83
U023,16,middle,13.0,1,1,3.0,77.58
U023,17,middle,13.0,1,1,4.0,77.53
U023,18,middle,13.0,1,1,5.0,79.27
U023,19,middle,13.0,1,1,6.0,79.05
U023,20,middle,13.0,1,1,7.0,80.79
U023,21,middle,13.0,1,1,8.0,81.59
U023,22,middle,13.0,1,1,9.0,79.49
U023,23,middle,13.0,1,1,10.0,78.9
U023,24,middle,13.0,1,1,11.0,80.78
U024,1,middle,13.0,1,0,-12.0,71.04
U024,2,middle,13.0,1,0,-11.0,70.84
U024,3,middle,13.0,1,0,-10.0,72.12
U024,4,middle,13.0,1,0,-9.0,72.36
U024,5,middle,13.0,1,0,-8.0,74.07
U024,6,middle,13.0,1,0,-7.0,72.11
U024,7,middle,13.0,1,0,-6.0,73.34
U024,8,middle,13.0,1,0,-5.0,73.22
U024,9,middle,13.0,1,0,-4.0,73.55
U024,10,middle,13.0,1,0,-3.0,74.31
U024,11,middle,13.0,1,0,-2.0,75.95
U024,12,middle,13.0,1,0,-1.0,75.13
U024,13,middle,13.0,1,1,0.0,76.32
U024,14,middle,13.0,1,1,1.0,75.76
U024,15,middle,13.0,1,1,2.0,78.89
U024,16,middle,13.0,1,1,3.0,79.29
U024,17,middle,13.0,1,1,4.0,80.7
U024,18,middle,13.0,1,1,5.0,80.46
U024,19,middle,13.0,1,1,6.0,83.03
U024,20,middle,13.0,1,1,7.0,81.34
U024,21,middle,13.0,1,1,8.0,85.73
U024,22,middle,13.0,1,1,9.0,83.3
U024,23,middle,13.0,1,1,10.0,84.54
U024,24,middle,13.0,1,1,11.0,84.16
U025,1,late,17.0,1,0,-16.0,73.97
U025,2,late,17.0,1,0,-15.0,72.94
U025,3,late,17.0,1,0,-14.0,75.34
U025,4,late,17.0,1,0,-13.0,72.54
U025,5,late,17.0,1,0,-12.0,74.06
U025,6,late,17.0,1,0,-11.0,74.46
