id,x1,x2,x3,continuous_outcome,binary_outcome
88,1.629,0.288,-0.388,25.026,1
89,-0.396,0.195,0.011,19.373,0
90,0.58,0.181,0.066,21.47,1
91,0.794,0.899,0.126,19.968,1
92,-0.185,-0.552,1.237,19.656,0
93,-1.286,-1.99,-0.843,20.262,0
94,1.128,-0.69,1.126,26.356,1
95,-1.312,-0.996,0.2,20.133,0
96,-0.343,-0.169,-1.258,19.088,0
97,-0.634,-0.378,0.834,18.232,0
98,1.421,1.028,-1.403,22.35,1
99,-0.701,0.331,-0.115,13.439,0
100,1.61,2.085,-0.419,24.374,1
101,1.242,1.839,-0.97,22.341,1
102,0.959,-0.26,0.271,22.387,0
103,0.732,1.962,0.611,22.298,1
104,-1.194,-1.043,0.529,19.367,0
105,0.58,1.628,0.811,21.588,1
106,1.201,-0.494,0.352,28.192,0
107,-0.627,-0.206,0.904,22.959,0
108,0.837,-0.748,-0.562,23.444,1
109,0.423,-0.577,0.928,24.143,1
110,0.273,0.299,-0.361,23.68,1
111,2.517,0.69,1.79,28.191,1
112,1.22,0.596,0.313,22.472,0
113,-0.847,-0.58,-0.073,17.447,0
114,-1.7,-0.233,1.081,13.873,0
115,-0.738,-0.523,1.497,17.733,0
116,-0.349,-0.584,-0.948,18.473,1
117,-0.403,0.396,0.692,16.247,1
118,0.242,-1.839,1.514,27.058,0
119,1.124,1.72,1.117,23.95,1
120,-0.897,0.08,0.41,19.361,0
121,-0.588,-1.805,-0.764,23.136,0
122,0.561,0.061,0.772,17.67,0
123,2.128,0.706,-1.414,26.795,1
124,-0.639,-0.063,-0.286,20.496,1
125,-0.771,-1.204,-1.028,19.231,1
126,0.302,0.171,0.823,17.945,1
127,-1.042,0.339,-2.47,19.269,1
128,-0.18,-1.204,-0.675,19.599,1
129,-0.316,-0.251,1.958,19.023,0
130,1.255,0.659,0.556,26.447,0
131,0.61,0.38,1.371,22.894,0
132,-0.537,1.796,0.247,17.683,0
133,-0.518,-0.454,-0.61,20.671,1
134,-0.459,1.606,1.032,13.995,1
135,-0.573,-0.779,-1.987,20.754,1
136,-1.29,0.36,0.177,18.568,0
137,0.847,0.83,-0.531,21.724,1
138,1.472,-0.276,-1.147,28.256,1
139,-3.075,-1.255,-0.047,7.902,0
140,-0.814,-0.545,-0.769,19.99,1
141,-0.393,-0.301,-0.185,20.545,0
142,-2.147,-2.178,1.599,18.759,1
143,-0.264,-0.919,-1.659,21.792,1
144,-0.704,2.377,-0.951,10.858,0
145,0.573,-0.018,1.364,20.404,0
146,-0.845,0.574,-0.728,12.736,0
147,2.598,3.34,1.509,22.987,1
148,-0.45,-0.345,-0.825,19.708,1
149,0.408,1.609,0.369,20.148,0
150,-0.247,-1.465,-1.36,20.236,1
151,0.56,-0.879,-1.206,20.957,1
152,-0.057,-1.053,1.47,22.055,1
153,1.42,1.453,-0.724,21.33,1
154,-0.813,0.187,-1.576,16.415,0
155,1.605,-0.774,-0.983,27.301,1
156,0.916,-0.165,0.749,24.021,0
157,0.977,0.862,0.45,19.787,0
158,0.706,1.244,-0.436,19.737,1
159,-0.192,-0.182,0.959,16.367,1
160,-0.876,0.899,0.195,15.502,0
161,0.219,-0.104,-1.912,19.52,1
162,-1.209,-0.817,-0.738,19.54,0
163,-0.018,-0.026,1.231,19.198,1
164,1.58,0.923,-1.26,20.392,0
165,-0.314,-0.18,0.572,19.685,1
166,-0.691,1.072,0.174,16.875,1
167,2.692,1.534,-0.738,22.628,1
168,-0.353,1.176,0.056,12.558,0
169,1.015,0.108,-0.181,21.26,1
170,1.41,1.102,-0.324,23.972,1
171,-0.303,-1.582,0.515,24.407,0
172,0.905,0.535,-0.7,25.231,0
173,0.61,0.819,0.361,23.153,0
174,0.037,-1.192,-0.642,24.31,0
175,-0.12,-1.044,0.414,20.93,0
176,-1.546,-1.538,1.589,17.644,0
177,1.2,-0.927,0.059,25.713,1
178,-0.489,0.069,0.814,14.54,0
179,-0.867,0.187,-0.116,13.255,0
180,-1.783,-1.335,0.095,14.717,0
