customer_id,churn,tenure_months,monthly_charge,support_tickets,usage_gb,contract,autopay,satisfaction
C0218,0,2,64.48,0,116.3,one_year,yes,6.4
C0219,0,45,119.65,0,81.2,one_year,no,8.0
C0220,0,21,60.7,0,71.5,month_to_month,yes,8.7
C0221,0,6,48.57,0,42.7,month_to_month,no,9.0
C0222,1,93,71.18,0,87.7,month_to_month,yes,6.4
C0223,0,25,81.98,0,107.8,one_year,no,7.0
C0224,0,6,28.37,0,109.3,month_to_month,no,3.0
C0225,0,4,91.31,0,101.4,month_to_month,no,6.7
C0226,0,4,77.86,0,72.2,one_year,yes,5.7
C0227,0,17,54.74,0,103.7,two_year,no,8.9
C0228,0,31,82.15,0,64.5,one_year,yes,7.2
C0229,0,26,66.19,2,101.1,one_year,yes,7.2
C0230,0,6,78.61,0,107.9,month_to_month,yes,6.6
C0231,0,33,83.01,1,106.4,one_year,yes,7.3
C0232,0,46,87.94,0,96.1,one_year,yes,7.8
C0233,0,15,76.71,1,60.2,two_year,yes,10
C0234,1,25,20,0,77.8,two_year,yes,7.9
C0235,0,12,96.29,0,88.4,month_to_month,yes,7.6
C0236,1,11,71.39,0,77.6,month_to_month,yes,6.1
C0237,0,35,92.58,1,157.8,month_to_month,yes,6.3
C0238,0,10,37.32,0,123.5,one_year,yes,5.1
C0239,1,5,60.27,0,93.3,month_to_month,no,7.2
C0240,0,10,96.65,0,109.0,one_year,no,5.4
C0241,0,17,77.84,1,61.2,month_to_month,yes,8.4
C0242,0,29,97.19,0,115.7,two_year,yes,8.0
C0243,0,38,66.45,0,101.9,one_year,no,6.8
C0244,1,25,83.03,0,67.0,month_to_month,no,6.8
C0245,0,3,20,2,108.8,month_to_month,yes,7.5
C0246,0,6,76.54,1,147.2,month_to_month,no,8.9
C0247,0,55,81.27,0,82.5,two_year,no,10
C0248,1,31,75.37,0,98.3,month_to_month,yes,6.0
C0249,1,3,80.06,0,1,month_to_month,yes,4.7
C0250,1,10,74.04,2,133.3,month_to_month,no,7.8
C0251,0,1,51.47,0,144.4,month_to_month,no,7.4
C0252,1,30,47.45,0,78.4,month_to_month,no,7.0
C0253,1,17,106.02,0,38.3,month_to_month,no,5.9
C0254,1,16,30.66,1,99.3,month_to_month,no,6.0
C0255,0,12,89.75,0,104.9,one_year,yes,6.9
C0256,1,2,96.2,0,62.6,one_year,no,7.2
C0257,0,30,58.01,0,109.6,month_to_month,yes,10
C0258,0,7,82.77,0,88.7,month_to_month,yes,8.9
C0259,0,50,20,0,101.8,month_to_month,yes,6.6
C0260,0,18,82.02,0,117.3,month_to_month,no,7.8
C0261,0,7,58.31,1,51.2,one_year,yes,6.4
C0262,0,24,79.28,1,66.7,one_year,yes,7.9
C0263,0,43,56.61,0,80.4,month_to_month,yes,8.0
C0264,0,14,74.73,1,83.3,month_to_month,yes,8.9
C0265,1,60,101.86,0,83.5,month_to_month,no,7.7
C0266,0,93,79.13,1,100.7,one_year,yes,4.4
C0267,1,32,71.88,0,36.3,month_to_month,no,6.1
C0268,0,44,75.51,0,93.1,month_to_month,no,4.7
C0269,0,39,76.92,0,85.1,one_year,yes,4.0
C0270,1,35,96.39,0,116.5,month_to_month,yes,6.1
C0271,0,10,57.03,0,64.0,month_to_month,yes,6.6
C0272,1,32,77.85,0,46.3,month_to_month,no,3.2
C0273,1,21,85.3,1,92.6,two_year,no,7.0
C0274,0,9,101.55,0,64.5,month_to_month,no,7.4
C0275,1,34,88.19,0,48.3,month_to_month,yes,6.4
C0276,0,2,58.64,0,60.6,one_year,yes,5.5
C0277,0,25,69.87,1,119.1,month_to_month,no,8.4
C0278,0,3,81.59,1,64.1,one_year,yes,5.6
C0279,0,11,97.71,1,84.2,one_year,yes,10
C0280,1,6,78.75,2,70.7,one_year,no,5.5
C0281,0,46,50.47,0,92.5,month_to_month,no,6.7
C0282,1,3,86.46,0,136.8,month_to_month,yes,6.9
C0283,0,69,62.25,0,147.6,month_to_month,yes,3.7
C0284,0,19,32.82,0,95.2,one_year,yes,6.6
C0285,0,2,76.23,1,130.0,month_to_month,yes,6.9
C0286,0,19,71.07,0,105.9,two_year,no,6.4
C0287,1,58,43.64,1,58.4,one_year,no,9.7
C0288,0,41,99.28,0,75.5,month_to_month,yes,5.9
C0289,0,26,60.82,0,93.9,month_to_month,yes,7.1
C0290,1,6,57.41,0,25.0,one_year,yes,6.5
C0291,1,5,56.85,0,91.5,one_year,yes,4.9
C0292,1,26,86.17,0,40.7,month_to_month,no,7.5
C0293,0,62,68.31,0,112.0,month_to_month,yes,4.6
C0294,0,46,59.04,1,78.9,month_to_month,no,5.2
C0295,0,17,55.85,0,76.9,two_year,yes,7.4
C0296,1,6,76.54,1,28.9,one_year,yes,8.8
C0297,1,45,69.42,1,79.8,month_to_month,no,5.8
C0298,0,27,53.67,1,159.6,one_year,no,9.9
C0299,0,21,59.0,0,73.8,one_year,yes,6.2
C0300,0,8,62.31,0,104.5,two_year,yes,7.3
C0301,1,9,88.23,1,64.5,one_year,yes,8.8
C0302,1,9,63.33,0,52.1,month_to_month,yes,4.6
C0303,0,8,79.97,1,52.6,two_year,yes,8.5
C0304,0,3,76.36,0,51.8,two_year,yes,5.2
C0305,1,9,74.59,0,105.0,month_to_month,yes,4.8
C0306,0,26,42.1,0,94.6,one_year,no,6.4
C0307,1,4,108.83,1,125.5,month_to_month,no,8.5
C0308,0,5,64.01,2,83.5,two_year,yes,10
C0309,0,5,70.96,0,127.3,month_to_month,no,6.5
C0310,0,1,57.1,0,58.3,two_year,yes,8.5
C0311,1,25,74.96,0,37.0,month_to_month,yes,9.3
C0312,1,10,87.66,1,101.4,month_to_month,yes,5.5
C0313,0,125,86.33,0,74.9,one_year,yes,4.7
C0314,1,31,62.41,0,53.3,month_to_month,yes,4.2
C0315,0,6,55.35,0,84.9,two_year,yes,9.6
C0316,1,25,99.7,1,58.6,month_to_month,no,8.3
C0317,1,29,82.44,0,71.4,one_year,yes,7.6
C0318,0,2,66.41,1,119.1,month_to_month,yes,6.6
C0319,0,10,71.48,0,44.4,one_year,yes,7.1
C0320,1,2,78.84,0,54.2,month_to_month,no,6.1
